comunidad,provincia,year,tipo_via,valor,Textbox80,Textbox60,Textbox61,Textbox81,Textbox64,Textbox82
Andalucía,Cádiz,2020,Autopistas de peaje,0,5,Subtotal Andalucía,4,57,18,338
Andalucía,Cádiz,2020,Autopistas libres y autovías,1,5,Subtotal Andalucía,33,57,156,338
Andalucía,Cádiz,2020,Carreteras convencionales,4,5,Subtotal Andalucía,20,57,164,338
Andalucía,Cádiz,2021,Autopistas de peaje,0,12,Subtotal Andalucía,7,88,29,386
Andalucía,Cádiz,2021,Autopistas libres y autovías,8,12,Subtotal Andalucía,50,88,191,386
Andalucía,Cádiz,2021,Carreteras convencionales,4,12,Subtotal Andalucía,31,88,166,386
Andalucía,Cádiz,2022,Autopistas de peaje,0,6,Subtotal Andalucía,0,78,23,455
Andalucía,Cádiz,2022,Autopistas libres y autovías,3,6,Subtotal Andalucía,51,78,244,455
Andalucía,Cádiz,2022,Carreteras convencionales,3,6,Subtotal Andalucía,27,78,188,455
Andalucía,Córdoba,2008,Autopistas de peaje,0,15,Subtotal Andalucía,18,150,93,874
Andalucía,Córdoba,2008,Autopistas libres y autovías,5,15,Subtotal Andalucía,56,150,294,874
Andalucía,Córdoba,2008,Carreteras convencionales,10,15,Subtotal Andalucía,76,150,487,874
Andalucía,Córdoba,2009,Autopistas de peaje,0,10,Subtotal Andalucía,7,129,68,758
Andalucía,Córdoba,2009,Autopistas libres y autovías,5,10,Subtotal Andalucía,64,129,281,758
Andalucía,Córdoba,2009,Carreteras convencionales,5,10,Subtotal Andalucía,58,129,409,758
Andalucía,Córdoba,2010,Autopistas de peaje,0,13,Subtotal Andalucía,6,117,77,686
Andalucía,Córdoba,2010,Autopistas libres y autovías,5,13,Subtotal Andalucía,55,117,251,686
Andalucía,Córdoba,2010,Carreteras convencionales,8,13,Subtotal Andalucía,56,117,358,686
Andalucía,Córdoba,2011,Autopistas de peaje,0,13,Subtotal Andalucía,8,84,30,571
Andalucía,Córdoba,2011,Autopistas libres y autovías,5,13,Subtotal Andalucía,33,84,218,571
Andalucía,Córdoba,2011,Carreteras convencionales,8,13,Subtotal Andalucía,43,84,323,571
Andalucía,Córdoba,2012,Autopistas de peaje,0,9,Subtotal Andalucía,7,84,44,515
Andalucía,Córdoba,2012,Autopistas libres y autovías,5,9,Subtotal Andalucía,46,84,197,515
Andalucía,Córdoba,2012,Carreteras convencionales,4,9,Subtotal Andalucía,31,84,274,515
Andalucía,Córdoba,2013,Autopistas de peaje,0,9,Subtotal Andalucía,3,62,41,444
Andalucía,Córdoba,2013,Autopistas libres y autovías,5,9,Subtotal Andalucía,33,62,177,444
Andalucía,Córdoba,2013,Carreteras convencionales,4,9,Subtotal Andalucía,26,62,226,444
Andalucía,Córdoba,2014,Autopistas de peaje,0,11,Subtotal Andalucía,5,78,42,421
Andalucía,Córdoba,2014,Autopistas libres y autovías,3,11,Subtotal Andalucía,39,78,159,421
Andalucía,Córdoba,2014,Carreteras convencionales,8,11,Subtotal Andalucía,34,78,220,421
Andalucía,Córdoba,2015,Autopistas de peaje,0,8,Subtotal Andalucía,1,40,33,402
Andalucía,Córdoba,2015,Autopistas libres y autovías,4,8,Subtotal Andalucía,23,40,153,402
Andalucía,Córdoba,2015,Carreteras convencionales,4,8,Subtotal Andalucía,16,40,216,402
Andalucía,Córdoba,2016,Autopistas de peaje,0,7,Subtotal Andalucía,0,55,42,432
Andalucía,Córdoba,2016,Autopistas libres y autovías,4,7,Subtotal Andalucía,28,55,156,432
Andalucía,Córdoba,2016,Carreteras convencionales,3,7,Subtotal Andalucía,27,55,234,432
Andalucía,Córdoba,2017,Autopistas de peaje,0,8,Subtotal Andalucía,2,55,34,405
Andalucía,Córdoba,2017,Autopistas libres y autovías,4,8,Subtotal Andalucía,38,55,164,405
Andalucía,Córdoba,2017,Carreteras convencionales,4,8,Subtotal Andalucía,15,55,207,405
Andalucía,Córdoba,2018,Autopistas de peaje,0,13,Subtotal Andalucía,3,77,45,495
Andalucía,Córdoba,2018,Autopistas libres y autovías,7,13,Subtotal Andalucía,33,77,196,495
Andalucía,Córdoba,2018,Carreteras convencionales,6,13,Subtotal Andalucía,41,77,254,495
Andalucía,Córdoba,2019,Autopistas de peaje,0,13,Subtotal Andalucía,3,67,41,408
Andalucía,Córdoba,2019,Autopistas libres y autovías,5,13,Subtotal Andalucía,42,67,201,408
Andalucía,Córdoba,2019,Carreteras convencionales,8,13,Subtotal Andalucía,22,67,166,408
Andalucía,Córdoba,2020,Autopistas de peaje,0,2,Subtotal Andalucía,4,57,18,338
Andalucía,Córdoba,2020,Autopistas libres y autovías,2,2,Subtotal Andalucía,33,57,156,338
Andalucía,Córdoba,2020,Carreteras convencionales,0,2,Subtotal Andalucía,20,57,164,338
Andalucía,Córdoba,2021,Autopistas de peaje,0,17,Subtotal Andalucía,7,88,29,386
Andalucía,Córdoba,2021,Autopistas libres y autovías,9,17,Subtotal Andalucía,50,88,191,386
Andalucía,Córdoba,2021,Carreteras convencionales,8,17,Subtotal Andalucía,31,88,166,386
Andalucía,Córdoba,2022,Autopistas de peaje,0,13,Subtotal Andalucía,0,78,23,455
Andalucía,Córdoba,2022,Autopistas libres y autovías,4,13,Subtotal Andalucía,51,78,244,455
Andalucía,Córdoba,2022,Carreteras convencionales,9,13,Subtotal Andalucía,27,78,188,455
Andalucía,Granada,2008,Autopistas de peaje,0,26,Subtotal Andalucía,18,150,93,874
Andalucía,Granada,2008,Autopistas libres y autovías,9,26,Subtotal Andalucía,56,150,294,874
Andalucía,Granada,2008,Carreteras convencionales,17,26,Subtotal Andalucía,76,150,487,874
Andalucía,Granada,2009,Autopistas de peaje,0,10,Subtotal Andalucía,7,129,68,758
Andalucía,Granada,2009,Autopistas libres y autovías,2,10,Subtotal Andalucía,64,129,281,758
Andalucía,Granada,2009,Carreteras convencionales,8,10,Subtotal Andalucía,58,129,409,758
Andalucía,Granada,2010,Autopistas de peaje,0,11,Subtotal Andalucía,6,117,77,686
Andalucía,Granada,2010,Autopistas libres y autovías,2,11,Subtotal Andalucía,55,117,251,686
Andalucía,Granada,2010,Carreteras convencionales,9,11,Subtotal Andalucía,56,117,358,686
Andalucía,Granada,2011,Autopistas de peaje,0,6,Subtotal Andalucía,8,84,30,571
Andalucía,Granada,2011,Autopistas libres y autovías,5,6,Subtotal Andalucía,33,84,218,571
Andalucía,Granada,2011,Carreteras convencionales,1,6,Subtotal Andalucía,43,84,323,571
Andalucía,Granada,2012,Autopistas de peaje,0,12,Subtotal Andalucía,7,84,44,515
Andalucía,Granada,2012,Autopistas libres y autovías,6,12,Subtotal Andalucía,46,84,197,515
Andalucía,Granada,2012,Carreteras convencionales,6,12,Subtotal Andalucía,31,84,274,515
Andalucía,Granada,2013,Autopistas de peaje,0,4,Subtotal Andalucía,3,62,41,444
Andalucía,Granada,2013,Autopistas libres y autovías,2,4,Subtotal Andalucía,33,62,177,444
Andalucía,Granada,2013,Carreteras convencionales,2,4,Subtotal Andalucía,26,62,226,444
Andalucía,Granada,2014,Autopistas de peaje,0,11,Subtotal Andalucía,5,78,42,421
Andalucía,Granada,2014,Autopistas libres y autovías,6,11,Subtotal Andalucía,39,78,159,421
Andalucía,Granada,2014,Carreteras convencionales,5,11,Subtotal Andalucía,34,78,220,421
Andalucía,Granada,2015,Autopistas de peaje,0,4,Subtotal Andalucía,1,40,33,402
Andalucía,Granada,2015,Autopistas libres y autovías,4,4,Subtotal Andalucía,23,40,153,402
Andalucía,Granada,2015,Carreteras convencionales,0,4,Subtotal Andalucía,16,40,216,402
Andalucía,Granada,2016,Autopistas de peaje,0,3,Subtotal Andalucía,0,55,42,432
Andalucía,Granada,2016,Autopistas libres y autovías,1,3,Subtotal Andalucía,28,55,156,432
Andalucía,Granada,2016,Carreteras convencionales,2,3,Subtotal Andalucía,27,55,234,432
Andalucía,Granada,2017,Autopistas de peaje,0,5,Subtotal Andalucía,2,55,34,405
Andalucía,Granada,2017,Autopistas libres y autovías,4,5,Subtotal Andalucía,38,55,164,405
Andalucía,Granada,2017,Carreteras convencionales,1,5,Subtotal Andalucía,15,55,207,405
Andalucía,Granada,2018,Autopistas de peaje,0,5,Subtotal Andalucía,3,77,45,495
Andalucía,Granada,2018,Autopistas libres y autovías,2,5,Subtotal Andalucía,33,77,196,495
Andalucía,Granada,2018,Carreteras convencionales,3,5,Subtotal Andalucía,41,77,254,495
Andalucía,Granada,2019,Autopistas de peaje,0,10,Subtotal Andalucía,3,67,41,408
Andalucía,Granada,2019,Autopistas libres y autovías,8,10,Subtotal Andalucía,42,67,201,408
Andalucía,Granada,2019,Carreteras convencionales,2,10,Subtotal Andalucía,22,67,166,408
Andalucía,Granada,2020,Autopistas de peaje,0,9,Subtotal Andalucía,4,57,18,338
Andalucía,Granada,2020,Autopistas libres y autovías,1,9,Subtotal Andalucía,33,57,156,338
Andalucía,Granada,2020,Carreteras convencionales,8,9,Subtotal Andalucía,20,57,164,338
Andalucía,Granada,2021,Autopistas de peaje,0,9,Subtotal Andalucía,7,88,29,386
Andalucía,Granada,2021,Autopistas libres y autovías,4,9,Subtotal Andalucía,50,88,191,386
Andalucía,Granada,2021,Carreteras convencionales,5,9,Subtotal Andalucía,31,88,166,386
Andalucía,Granada,2022,Autopistas de peaje,0,8,Subtotal Andalucía,0,78,23,455
Andalucía,Granada,2022,Autopistas libres y autovías,4,8,Subtotal Andalucía,51,78,244,455
Andalucía,Granada,2022,Carreteras convencionales,4,8,Subtotal Andalucía,27,78,188,455
Andalucía,Huelva,2008,Autopistas de peaje,0,14,Subtotal Andalucía,18,150,93,874
Andalucía,Huelva,2008,Autopistas libres y autovías,1,14,Subtotal Andalucía,56,150,294,874
Andalucía,Huelva,2008,Carreteras convencionales,13,14,Subtotal Andalucía,76,150,487,874
Andalucía,Huelva,2009,Autopistas de peaje,0,19,Subtotal Andalucía,7,129,68,758
Andalucía,Huelva,2009,Autopistas libres y autovías,7,19,Subtotal Andalucía,64,129,281,758
Andalucía,Huelva,2009,Carreteras convencionales,12,19,Subtotal Andalucía,58,129,409,758
Andalucía,Huelva,2010,Autopistas de peaje,0,14,Subtotal Andalucía,6,117,77,686
Andalucía,Huelva,2010,Autopistas libres y autovías,3,14,Subtotal Andalucía,55,117,251,686
Andalucía,Huelva,2010,Carreteras convencionales,11,14,Subtotal Andalucía,56,117,358,686
Andalucía,Huelva,2011,Autopistas de peaje,0,4,Subtotal Andalucía,8,84,30,571
Andalucía,Huelva,2011,Autopistas libres y autovías,0,4,Subtotal Andalucía,33,84,218,571
Andalucía,Huelva,2011,Carreteras convencionales,4,4,Subtotal Andalucía,43,84,323,571
Andalucía,Huelva,2012,Autopistas de peaje,0,9,Subtotal Andalucía,7,84,44,515
Andalucía,Huelva,2012,Autopistas libres y autovías,4,9,Subtotal Andalucía,46,84,197,515
Andalucía,Huelva,2012,Carreteras convencionales,5,9,Subtotal Andalucía,31,84,274,515
Andalucía,Huelva,2013,Autopistas de peaje,0,10,Subtotal Andalucía,3,62,41,444
Andalucía,Huelva,2013,Autopistas libres y autovías,5,10,Subtotal Andalucía,33,62,177,444
Andalucía,Huelva,2013,Carreteras convencionales,5,10,Subtotal Andalucía,26,62,226,444
Andalucía,Huelva,2014,Autopistas de peaje,0,8,Subtotal Andalucía,5,78,42,421
Andalucía,Huelva,2014,Autopistas libres y autovías,1,8,Subtotal Andalucía,39,78,159,421
Andalucía,Huelva,2014,Carreteras convencionales,7,8,Subtotal Andalucía,34,78,220,421
Andalucía,Huelva,2015,Autopistas de peaje,0,6,Subtotal Andalucía,1,40,33,402
Andalucía,Huelva,2015,Autopistas libres y autovías,3,6,Subtotal Andalucía,23,40,153,402
Andalucía,Huelva,2015,Carreteras convencionales,3,6,Subtotal Andalucía,16,40,216,402
Andalucía,Huelva,2016,Autopistas de peaje,0,6,Subtotal Andalucía,0,55,42,432
Andalucía,Huelva,2016,Autopistas libres y autovías,1,6,Subtotal Andalucía,28,55,156,432
Andalucía,Huelva,2016,Carreteras convencionales,5,6,Subtotal Andalucía,27,55,234,432
Andalucía,Huelva,2017,Autopistas de peaje,0,4,Subtotal Andalucía,2,55,34,405
Andalucía,Huelva,2017,Autopistas libres y autovías,1,4,Subtotal Andalucía,38,55,164,405
Andalucía,Huelva,2017,Carreteras convencionales,3,4,Subtotal Andalucía,15,55,207,405
Andalucía,Huelva,2018,Autopistas de peaje,0,4,Subtotal Andalucía,3,77,45,495
Andalucía,Huelva,2018,Autopistas libres y autovías,1,4,Subtotal Andalucía,33,77,196,495
Andalucía,Huelva,2018,Carreteras convencionales,3,4,Subtotal Andalucía,41,77,254,495
Andalucía,Huelva,2019,Autopistas de peaje,0,3,Subtotal Andalucía,3,67,41,408
Andalucía,Huelva,2019,Autopistas libres y autovías,1,3,Subtotal Andalucía,42,67,201,408
Andalucía,Huelva,2019,Carreteras convencionales,2,3,Subtotal Andalucía,22,67,166,408
Andalucía,Huelva,2020,Autopistas de peaje,0,6,Subtotal Andalucía,4,57,18,338
Andalucía,Huelva,2020,Autopistas libres y autovías,4,6,Subtotal Andalucía,33,57,156,338
Andalucía,Huelva,2020,Carreteras convencionales,2,6,Subtotal Andalucía,20,57,164,338
Andalucía,Huelva,2021,Autopistas de peaje,0,6,Subtotal Andalucía,7,88,29,386
Andalucía,Huelva,2021,Autopistas libres y autovías,0,6,Subtotal Andalucía,50,88,191,386
Andalucía,Huelva,2021,Carreteras convencionales,6,6,Subtotal Andalucía,31,88,166,386
Andalucía,Huelva,2022,Autopistas de peaje,0,8,Subtotal Andalucía,0,78,23,455
Andalucía,Huelva,2022,Autopistas libres y autovías,5,8,Subtotal Andalucía,51,78,244,455
Andalucía,Huelva,2022,Carreteras convencionales,3,8,Subtotal Andalucía,27,78,188,455
Andalucía,Jaén,2008,Autopistas de peaje,0,20,Subtotal Andalucía,18,150,93,874
Andalucía,Jaén,2008,Autopistas libres y autovías,10,20,Subtotal Andalucía,56,150,294,874
Andalucía,Jaén,2008,Carreteras convencionales,10,20,Subtotal Andalucía,76,150,487,874
Andalucía,Jaén,2009,Autopistas de peaje,0,20,Subtotal Andalucía,7,129,68,758
Andalucía,Jaén,2009,Autopistas libres y autovías,6,20,Subtotal Andalucía,64,129,281,758
Andalucía,Jaén,2009,Carreteras convencionales,14,20,Subtotal Andalucía,58,129,409,758
Andalucía,Jaén,2010,Autopistas de peaje,0,10,Subtotal Andalucía,6,117,77,686
Andalucía,Jaén,2010,Autopistas libres y autovías,6,10,Subtotal Andalucía,55,117,251,686
Andalucía,Jaén,2010,Carreteras convencionales,4,10,Subtotal Andalucía,56,117,358,686
Andalucía,Jaén,2011,Autopistas de peaje,0,15,Subtotal Andalucía,8,84,30,571
Andalucía,Jaén,2011,Autopistas libres y autovías,5,15,Subtotal Andalucía,33,84,218,571
Andalucía,Jaén,2011,Carreteras convencionales,10,15,Subtotal Andalucía,43,84,323,571
Andalucía,Jaén,2012,Autopistas de peaje,0,9,Subtotal Andalucía,7,84,44,515
Andalucía,Jaén,2012,Autopistas libres y autovías,4,9,Subtotal Andalucía,46,84,197,515
Andalucía,Jaén,2012,Carreteras convencionales,5,9,Subtotal Andalucía,31,84,274,515
Andalucía,Jaén,2013,Autopistas de peaje,0,3,Subtotal Andalucía,3,62,41,444
Andalucía,Jaén,2013,Autopistas libres y autovías,1,3,Subtotal Andalucía,33,62,177,444
Andalucía,Jaén,2013,Carreteras convencionales,2,3,Subtotal Andalucía,26,62,226,444
Andalucía,Jaén,2014,Autopistas de peaje,0,6,Subtotal Andalucía,5,78,42,421
Andalucía,Jaén,2014,Autopistas libres y autovías,4,6,Subtotal Andalucía,39,78,159,421
Andalucía,Jaén,2014,Carreteras convencionales,2,6,Subtotal Andalucía,34,78,220,421
Andalucía,Jaén,2015,Autopistas de peaje,0,2,Subtotal Andalucía,1,40,33,402
Andalucía,Jaén,2015,Autopistas libres y autovías,2,2,Subtotal Andalucía,23,40,153,402
Andalucía,Jaén,2015,Carreteras convencionales,0,2,Subtotal Andalucía,16,40,216,402
Andalucía,Jaén,2016,Autopistas de peaje,0,9,Subtotal Andalucía,0,55,42,432
Andalucía,Jaén,2016,Autopistas libres y autovías,3,9,Subtotal Andalucía,28,55,156,432
Andalucía,Jaén,2016,Carreteras convencionales,6,9,Subtotal Andalucía,27,55,234,432
Andalucía,Jaén,2017,Autopistas de peaje,0,8,Subtotal Andalucía,2,55,34,405
Andalucía,Jaén,2017,Autopistas libres y autovías,5,8,Subtotal Andalucía,38,55,164,405
Andalucía,Jaén,2017,Carreteras convencionales,3,8,Subtotal Andalucía,15,55,207,405
Andalucía,Jaén,2018,Autopistas de peaje,0,13,Subtotal Andalucía,3,77,45,495
Andalucía,Jaén,2018,Autopistas libres y autovías,5,13,Subtotal Andalucía,33,77,196,495
Andalucía,Jaén,2018,Carreteras convencionales,8,13,Subtotal Andalucía,41,77,254,495
Andalucía,Jaén,2019,Autopistas de peaje,0,6,Subtotal Andalucía,3,67,41,408
Andalucía,Jaén,2019,Autopistas libres y autovías,3,6,Subtotal Andalucía,42,67,201,408
Andalucía,Jaén,2019,Carreteras convencionales,3,6,Subtotal Andalucía,22,67,166,408
Andalucía,Jaén,2020,Autopistas de peaje,0,4,Subtotal Andalucía,4,57,18,338
Andalucía,Jaén,2020,Autopistas libres y autovías,2,4,Subtotal Andalucía,33,57,156,338
Andalucía,Jaén,2020,Carreteras convencionales,2,4,Subtotal Andalucía,20,57,164,338
Andalucía,Jaén,2021,Autopistas de peaje,0,4,Subtotal Andalucía,7,88,29,386
Andalucía,Jaén,2021,Autopistas libres y autovías,2,4,Subtotal Andalucía,50,88,191,386
Andalucía,Jaén,2021,Carreteras convencionales,2,4,Subtotal Andalucía,31,88,166,386
Andalucía,Jaén,2022,Autopistas de peaje,0,6,Subtotal Andalucía,0,78,23,455
Andalucía,Jaén,2022,Autopistas libres y autovías,4,6,Subtotal Andalucía,51,78,244,455
Andalucía,Jaén,2022,Carreteras convencionales,2,6,Subtotal Andalucía,27,78,188,455
Andalucía,Málaga,2008,Autopistas de peaje,14,33,Subtotal Andalucía,18,150,93,874
Andalucía,Málaga,2008,Autopistas libres y autovías,14,33,Subtotal Andalucía,56,150,294,874
Andalucía,Málaga,2008,Carreteras convencionales,5,33,Subtotal Andalucía,76,150,487,874
Andalucía,Málaga,2009,Autopistas de peaje,5,23,Subtotal Andalucía,7,129,68,758
Andalucía,Málaga,2009,Autopistas libres y autovías,15,23,Subtotal Andalucía,64,129,281,758
Andalucía,Málaga,2009,Carreteras convencionales,3,23,Subtotal Andalucía,58,129,409,758
Andalucía,Málaga,2010,Autopistas de peaje,5,16,Subtotal Andalucía,6,117,77,686
Andalucía,Málaga,2010,Autopistas libres y autovías,10,16,Subtotal Andalucía,55,117,251,686
Andalucía,Málaga,2010,Carreteras convencionales,1,16,Subtotal Andalucía,56,117,358,686
