year,comunidad,provincia,Carburante,cantidad,Textbox4,Textbox6,Textbox10
2013,Cantabria,Cantabria,Nuevo gasóleo A,90,90,Total 2013,6.747
2013,Cantabria,Cantabria,Gasóleo B,30,30,Total 2013,3.047
2013,Cantabria,Cantabria,Gasóleo C,,,Total 2013,78
2013,Cantabria,Cantabria,Biodiésel,7,7,Total 2013,243
2013,Cantabria,Cantabria,Bioetanol,,,Total 2013,
2013,Cantabria,Cantabria,Gases licuados del petróleo,,,Total 2013,
2013,Cantabria,Cantabria,Gas natural comprimido,,,Total 2013,
2013,Cantabria,Cantabria,Gas natural licuado,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 95 E5,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 95 E10,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 95 E5 Premium,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 95,121,649,Total 2013,8.744
2013,Castilla - La Mancha,Albacete,Gasolina 95 (G.protección),,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 98 E5,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 98 E10,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gasolina 98,94,460,Total 2013,6.720
2013,Castilla - La Mancha,Albacete,Gasóleo A habitual,144,800,Total 2013,9.382
2013,Castilla - La Mancha,Albacete,Gasóleo Premium,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Nuevo gasóleo A,86,476,Total 2013,6.747
2013,Castilla - La Mancha,Albacete,Gasóleo B,65,417,Total 2013,3.047
2013,Castilla - La Mancha,Albacete,Gasóleo C,1,3,Total 2013,78
2013,Castilla - La Mancha,Albacete,Biodiésel,,3,Total 2013,243
2013,Castilla - La Mancha,Albacete,Bioetanol,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gases licuados del petróleo,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gas natural comprimido,,,Total 2013,
2013,Castilla - La Mancha,Albacete,Gas natural licuado,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 95 E5,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 95 E10,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 95 E5 Premium,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 95,153,649,Total 2013,8.744
2013,Castilla - La Mancha,Ciudad Real,Gasolina 95 (G.protección),,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 98 E5,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 98 E10,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gasolina 98,106,460,Total 2013,6.720
2013,Castilla - La Mancha,Ciudad Real,Gasóleo A habitual,180,800,Total 2013,9.382
2013,Castilla - La Mancha,Ciudad Real,Gasóleo Premium,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Nuevo gasóleo A,112,476,Total 2013,6.747
2013,Castilla - La Mancha,Ciudad Real,Gasóleo B,107,417,Total 2013,3.047
2013,Castilla - La Mancha,Ciudad Real,Gasóleo C,2,3,Total 2013,78
2013,Castilla - La Mancha,Ciudad Real,Biodiésel,1,3,Total 2013,243
2013,Castilla - La Mancha,Ciudad Real,Bioetanol,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gases licuados del petróleo,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gas natural comprimido,,,Total 2013,
2013,Castilla - La Mancha,Ciudad Real,Gas natural licuado,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 95 E5,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 95 E10,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 95 E5 Premium,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 95,101,649,Total 2013,8.744
2013,Castilla - La Mancha,Cuenca,Gasolina 95 (G.protección),,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 98 E5,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 98 E10,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gasolina 98,57,460,Total 2013,6.720
2013,Castilla - La Mancha,Cuenca,Gasóleo A habitual,139,800,Total 2013,9.382
2013,Castilla - La Mancha,Cuenca,Gasóleo Premium,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Nuevo gasóleo A,71,476,Total 2013,6.747
2013,Castilla - La Mancha,Cuenca,Gasóleo B,81,417,Total 2013,3.047
2013,Castilla - La Mancha,Cuenca,Gasóleo C,,3,Total 2013,78
2013,Castilla - La Mancha,Cuenca,Biodiésel,,3,Total 2013,243
2013,Castilla - La Mancha,Cuenca,Bioetanol,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gases licuados del petróleo,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gas natural comprimido,,,Total 2013,
2013,Castilla - La Mancha,Cuenca,Gas natural licuado,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 95 E5,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 95 E10,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 95 E5 Premium,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 95,68,649,Total 2013,8.744
2013,Castilla - La Mancha,Guadalajara,Gasolina 95 (G.protección),,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 98 E5,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 98 E10,,,Total 2013,
2013,Castilla - La Mancha,Guadalajara,Gasolina 98,54,460,Total 2013,6.720
2013,Castilla - La Mancha,Guadalajara,Gasóleo A habitual,71,800,Total 2013,9.382
