Provincias;Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
24 León;20-24 años;TOTAL;Ambos sexos;2011;25.013
24 León;20-24 años;TOTAL;Ambos sexos;2010;26.208
24 León;20-24 años;TOTAL;Ambos sexos;2009;27.328
24 León;20-24 años;TOTAL;Ambos sexos;2008;28.431
24 León;20-24 años;TOTAL;Ambos sexos;2007;29.436
24 León;20-24 años;TOTAL;Ambos sexos;2006;30.411
24 León;20-24 años;TOTAL;Ambos sexos;2005;31.105
24 León;20-24 años;TOTAL;Ambos sexos;2004;31.768
24 León;20-24 años;TOTAL;Ambos sexos;2003;33.082
24 León;20-24 años;TOTAL;Ambos sexos;2002;34.017
24 León;20-24 años;TOTAL;Ambos sexos;2001;35.031
24 León;20-24 años;TOTAL;Ambos sexos;2000;35.637
24 León;20-24 años;TOTAL;Ambos sexos;1999;36.341
24 León;20-24 años;TOTAL;Ambos sexos;1998;36.440
24 León;25-29 años;TOTAL;Ambos sexos;2022;18.312
24 León;25-29 años;TOTAL;Ambos sexos;2021;18.878
24 León;25-29 años;TOTAL;Ambos sexos;2020;19.469
24 León;25-29 años;TOTAL;Ambos sexos;2019;20.306
24 León;25-29 años;TOTAL;Ambos sexos;2018;21.128
24 León;25-29 años;TOTAL;Ambos sexos;2017;21.992
24 León;25-29 años;TOTAL;Ambos sexos;2016;23.245
24 León;25-29 años;TOTAL;Ambos sexos;2015;24.665
24 León;25-29 años;TOTAL;Ambos sexos;2014;26.171
24 León;25-29 años;TOTAL;Ambos sexos;2013;27.706
24 León;25-29 años;TOTAL;Ambos sexos;2012;29.449
24 León;25-29 años;TOTAL;Ambos sexos;2011;30.851
24 León;25-29 años;TOTAL;Ambos sexos;2010;31.920
24 León;25-29 años;TOTAL;Ambos sexos;2009;32.833
24 León;25-29 años;TOTAL;Ambos sexos;2008;34.038
24 León;25-29 años;TOTAL;Ambos sexos;2007;34.424
24 León;25-29 años;TOTAL;Ambos sexos;2006;35.152
24 León;25-29 años;TOTAL;Ambos sexos;2005;35.089
24 León;25-29 años;TOTAL;Ambos sexos;2004;35.040
24 León;25-29 años;TOTAL;Ambos sexos;2003;35.128
24 León;25-29 años;TOTAL;Ambos sexos;2002;35.227
24 León;25-29 años;TOTAL;Ambos sexos;2001;35.165
24 León;25-29 años;TOTAL;Ambos sexos;2000;35.574
24 León;25-29 años;TOTAL;Ambos sexos;1999;35.765
24 León;25-29 años;TOTAL;Ambos sexos;1998;36.259
24 León;30-34 años;TOTAL;Ambos sexos;2022;20.763
24 León;30-34 años;TOTAL;Ambos sexos;2021;21.572
24 León;30-34 años;TOTAL;Ambos sexos;2020;22.581
24 León;30-34 años;TOTAL;Ambos sexos;2019;23.799
24 León;30-34 años;TOTAL;Ambos sexos;2018;25.160
24 León;30-34 años;TOTAL;Ambos sexos;2017;26.675
24 León;30-34 años;TOTAL;Ambos sexos;2016;28.204
24 León;30-34 años;TOTAL;Ambos sexos;2015;29.936
24 León;30-34 años;TOTAL;Ambos sexos;2014;31.437
24 León;30-34 años;TOTAL;Ambos sexos;2013;33.091
24 León;30-34 años;TOTAL;Ambos sexos;2012;34.292
24 León;30-34 años;TOTAL;Ambos sexos;2011;35.336
24 León;30-34 años;TOTAL;Ambos sexos;2010;35.668
24 León;30-34 años;TOTAL;Ambos sexos;2009;36.091
24 León;30-34 años;TOTAL;Ambos sexos;2008;35.869
24 León;30-34 años;TOTAL;Ambos sexos;2007;35.466
24 León;30-34 años;TOTAL;Ambos sexos;2006;35.326
24 León;30-34 años;TOTAL;Ambos sexos;2005;34.926
24 León;30-34 años;TOTAL;Ambos sexos;2004;34.647
24 León;30-34 años;TOTAL;Ambos sexos;2003;35.200
24 León;30-34 años;TOTAL;Ambos sexos;2002;35.660
24 León;30-34 años;TOTAL;Ambos sexos;2001;35.873
24 León;30-34 años;TOTAL;Ambos sexos;2000;36.755
24 León;30-34 años;TOTAL;Ambos sexos;1999;37.012
24 León;30-34 años;TOTAL;Ambos sexos;1998;37.910
24 León;35-39 años;TOTAL;Ambos sexos;2022;25.988
24 León;35-39 años;TOTAL;Ambos sexos;2021;27.206
24 León;35-39 años;TOTAL;Ambos sexos;2020;28.446
24 León;35-39 años;TOTAL;Ambos sexos;2019;29.561
24 León;35-39 años;TOTAL;Ambos sexos;2018;30.932
24 León;35-39 años;TOTAL;Ambos sexos;2017;32.061
24 León;35-39 años;TOTAL;Ambos sexos;2016;33.264
24 León;35-39 años;TOTAL;Ambos sexos;2015;34.097
24 León;35-39 años;TOTAL;Ambos sexos;2014;34.961
24 León;35-39 años;TOTAL;Ambos sexos;2013;35.419
24 León;35-39 años;TOTAL;Ambos sexos;2012;35.812
24 León;35-39 años;TOTAL;Ambos sexos;2011;36.076
24 León;35-39 años;TOTAL;Ambos sexos;2010;36.288
24 León;35-39 años;TOTAL;Ambos sexos;2009;36.475
24 León;35-39 años;TOTAL;Ambos sexos;2008;36.608
24 León;35-39 años;TOTAL;Ambos sexos;2007;36.336
24 León;35-39 años;TOTAL;Ambos sexos;2006;36.581
24 León;35-39 años;TOTAL;Ambos sexos;2005;36.668
24 León;35-39 años;TOTAL;Ambos sexos;2004;36.832
24 León;35-39 años;TOTAL;Ambos sexos;2003;37.394
24 León;35-39 años;TOTAL;Ambos sexos;2002;37.936
24 León;35-39 años;TOTAL;Ambos sexos;2001;38.176
24 León;35-39 años;TOTAL;Ambos sexos;2000;38.349
24 León;35-39 años;TOTAL;Ambos sexos;1999;38.050
24 León;35-39 años;TOTAL;Ambos sexos;1998;37.952
24 León;40-44 años;TOTAL;Ambos sexos;2022;31.823
24 León;40-44 años;TOTAL;Ambos sexos;2021;32.735
24 León;40-44 años;TOTAL;Ambos sexos;2020;33.115
24 León;40-44 años;TOTAL;Ambos sexos;2019;33.588
24 León;40-44 años;TOTAL;Ambos sexos;2018;33.861
24 León;40-44 años;TOTAL;Ambos sexos;2017;34.271
24 León;40-44 años;TOTAL;Ambos sexos;2016;34.707
24 León;40-44 años;TOTAL;Ambos sexos;2015;35.246
24 León;40-44 años;TOTAL;Ambos sexos;2014;35.859
24 León;40-44 años;TOTAL;Ambos sexos;2013;36.473
24 León;40-44 años;TOTAL;Ambos sexos;2012;37.091
24 León;40-44 años;TOTAL;Ambos sexos;2011;37.326
24 León;40-44 años;TOTAL;Ambos sexos;2010;37.923
24 León;40-44 años;TOTAL;Ambos sexos;2009;38.353
24 León;40-44 años;TOTAL;Ambos sexos;2008;38.646
24 León;40-44 años;TOTAL;Ambos sexos;2007;38.616
24 León;40-44 años;TOTAL;Ambos sexos;2006;38.799
24 León;40-44 años;TOTAL;Ambos sexos;2005;38.535
24 León;40-44 años;TOTAL;Ambos sexos;2004;38.118
24 León;40-44 años;TOTAL;Ambos sexos;2003;38.048
24 León;40-44 años;TOTAL;Ambos sexos;2002;37.745
24 León;40-44 años;TOTAL;Ambos sexos;2001;37.231
24 León;40-44 años;TOTAL;Ambos sexos;2000;36.365
24 León;40-44 años;TOTAL;Ambos sexos;1999;35.125
24 León;40-44 años;TOTAL;Ambos sexos;1998;33.818
24 León;45-49 años;TOTAL;Ambos sexos;2022;33.957
24 León;45-49 años;TOTAL;Ambos sexos;2021;34.231
24 León;45-49 años;TOTAL;Ambos sexos;2020;34.420
24 León;45-49 años;TOTAL;Ambos sexos;2019;34.870
24 León;45-49 años;TOTAL;Ambos sexos;2018;35.269
24 León;45-49 años;TOTAL;Ambos sexos;2017;35.859
24 León;45-49 años;TOTAL;Ambos sexos;2016;36.229
24 León;45-49 años;TOTAL;Ambos sexos;2015;37.081
24 León;45-49 años;TOTAL;Ambos sexos;2014;37.891
24 León;45-49 años;TOTAL;Ambos sexos;2013;38.534
24 León;45-49 años;TOTAL;Ambos sexos;2012;39.017
24 León;45-49 años;TOTAL;Ambos sexos;2011;39.303
24 León;45-49 años;TOTAL;Ambos sexos;2010;39.421
24 León;45-49 años;TOTAL;Ambos sexos;2009;39.149
24 León;45-49 años;TOTAL;Ambos sexos;2008;38.760
24 León;45-49 años;TOTAL;Ambos sexos;2007;38.181
24 León;45-49 años;TOTAL;Ambos sexos;2006;37.652
24 León;45-49 años;TOTAL;Ambos sexos;2005;36.436
24 León;45-49 años;TOTAL;Ambos sexos;2004;34.863
24 León;45-49 años;TOTAL;Ambos sexos;2003;33.733
24 León;45-49 años;TOTAL;Ambos sexos;2002;32.341
24 León;45-49 años;TOTAL;Ambos sexos;2001;30.987
24 León;45-49 años;TOTAL;Ambos sexos;2000;30.114
24 León;45-49 años;TOTAL;Ambos sexos;1999;29.604
24 León;45-49 años;TOTAL;Ambos sexos;1998;29.358
24 León;50-54 años;TOTAL;Ambos sexos;2022;35.423
24 León;50-54 años;TOTAL;Ambos sexos;2021;35.753
24 León;50-54 años;TOTAL;Ambos sexos;2020;36.337
24 León;50-54 años;TOTAL;Ambos sexos;2019;36.961
24 León;50-54 años;TOTAL;Ambos sexos;2018;37.411
24 León;50-54 años;TOTAL;Ambos sexos;2017;37.856
24 León;50-54 años;TOTAL;Ambos sexos;2016;38.258
24 León;50-54 años;TOTAL;Ambos sexos;2015;38.636
24 León;50-54 años;TOTAL;Ambos sexos;2014;38.633
24 León;50-54 años;TOTAL;Ambos sexos;2013;38.520
24 León;50-54 años;TOTAL;Ambos sexos;2012;38.307
24 León;50-54 años;TOTAL;Ambos sexos;2011;37.799
24 León;50-54 años;TOTAL;Ambos sexos;2010;36.683
24 León;50-54 años;TOTAL;Ambos sexos;2009;35.384
24 León;50-54 años;TOTAL;Ambos sexos;2008;34.137
24 León;50-54 años;TOTAL;Ambos sexos;2007;32.574
24 León;50-54 años;TOTAL;Ambos sexos;2006;31.082
24 León;50-54 años;TOTAL;Ambos sexos;2005;30.050
24 León;50-54 años;TOTAL;Ambos sexos;2004;29.251
24 León;50-54 años;TOTAL;Ambos sexos;2003;29.126
24 León;50-54 años;TOTAL;Ambos sexos;2002;28.501
24 León;50-54 años;TOTAL;Ambos sexos;2001;28.302
24 León;50-54 años;TOTAL;Ambos sexos;2000;28.235
24 León;50-54 años;TOTAL;Ambos sexos;1999;28.096
24 León;50-54 años;TOTAL;Ambos sexos;1998;27.354
24 León;55-59 años;TOTAL;Ambos sexos;2022;37.361
24 León;55-59 años;TOTAL;Ambos sexos;2021;37.657
24 León;55-59 años;TOTAL;Ambos sexos;2020;37.760
24 León;55-59 años;TOTAL;Ambos sexos;2019;37.631
24 León;55-59 años;TOTAL;Ambos sexos;2018;37.430
24 León;55-59 años;TOTAL;Ambos sexos;2017;37.285
24 León;55-59 años;TOTAL;Ambos sexos;2016;36.877
24 León;55-59 años;TOTAL;Ambos sexos;2015;35.975
24 León;55-59 años;TOTAL;Ambos sexos;2014;34.780
24 León;55-59 años;TOTAL;Ambos sexos;2013;33.673
24 León;55-59 años;TOTAL;Ambos sexos;2012;32.443
24 León;55-59 años;TOTAL;Ambos sexos;2011;31.159
24 León;55-59 años;TOTAL;Ambos sexos;2010;30.177
24 León;55-59 años;TOTAL;Ambos sexos;2009;29.553
24 León;55-59 años;TOTAL;Ambos sexos;2008;29.393
24 León;55-59 años;TOTAL;Ambos sexos;2007;28.591
24 León;55-59 años;TOTAL;Ambos sexos;2006;28.290
24 León;55-59 años;TOTAL;Ambos sexos;2005;28.102
24 León;55-59 años;TOTAL;Ambos sexos;2004;27.607
24 León;55-59 años;TOTAL;Ambos sexos;2003;27.165
24 León;55-59 años;TOTAL;Ambos sexos;2002;26.774
24 León;55-59 años;TOTAL;Ambos sexos;2001;26.354
24 León;55-59 años;TOTAL;Ambos sexos;2000;26.275
24 León;55-59 años;TOTAL;Ambos sexos;1999;25.338
24 León;55-59 años;TOTAL;Ambos sexos;1998;24.196
24 León;60-64 años;TOTAL;Ambos sexos;2022;36.532
24 León;60-64 años;TOTAL;Ambos sexos;2021;36.082
24 León;60-64 años;TOTAL;Ambos sexos;2020;35.135
24 León;60-64 años;TOTAL;Ambos sexos;2019;33.912
24 León;60-64 años;TOTAL;Ambos sexos;2018;32.715
24 León;60-64 años;TOTAL;Ambos sexos;2017;31.442
24 León;60-64 años;TOTAL;Ambos sexos;2016;30.293
24 León;60-64 años;TOTAL;Ambos sexos;2015;29.487
24 León;60-64 años;TOTAL;Ambos sexos;2014;28.977
24 León;60-64 años;TOTAL;Ambos sexos;2013;28.948
24 León;60-64 años;TOTAL;Ambos sexos;2012;28.461
24 León;60-64 años;TOTAL;Ambos sexos;2011;28.228
24 León;60-64 años;TOTAL;Ambos sexos;2010;28.097
24 León;60-64 años;TOTAL;Ambos sexos;2009;27.699
24 León;60-64 años;TOTAL;Ambos sexos;2008;27.213
24 León;60-64 años;TOTAL;Ambos sexos;2007;26.821
24 León;60-64 años;TOTAL;Ambos sexos;2006;26.356
24 León;60-64 años;TOTAL;Ambos sexos;2005;26.050
24 León;60-64 años;TOTAL;Ambos sexos;2004;24.850
24 León;60-64 años;TOTAL;Ambos sexos;2003;23.993
24 León;60-64 años;TOTAL;Ambos sexos;2002;24.495
24 León;60-64 años;TOTAL;Ambos sexos;2001;26.509
24 León;60-64 años;TOTAL;Ambos sexos;2000;27.684
24 León;60-64 años;TOTAL;Ambos sexos;1999;30.802
24 León;60-64 años;TOTAL;Ambos sexos;1998;32.879
25 Lleida;20-24 años;TOTAL;Ambos sexos;2022;23.215
25 Lleida;20-24 años;TOTAL;Ambos sexos;2021;22.724
25 Lleida;20-24 años;TOTAL;Ambos sexos;2020;22.322
25 Lleida;20-24 años;TOTAL;Ambos sexos;2019;21.667
25 Lleida;20-24 años;TOTAL;Ambos sexos;2018;21.455
25 Lleida;20-24 años;TOTAL;Ambos sexos;2017;21.508
25 Lleida;20-24 años;TOTAL;Ambos sexos;2016;21.717
25 Lleida;20-24 años;TOTAL;Ambos sexos;2015;21.923
25 Lleida;20-24 años;TOTAL;Ambos sexos;2014;22.288
25 Lleida;20-24 años;TOTAL;Ambos sexos;2013;23.079
25 Lleida;20-24 años;TOTAL;Ambos sexos;2012;23.682
25 Lleida;20-24 años;TOTAL;Ambos sexos;2011;24.363
25 Lleida;20-24 años;TOTAL;Ambos sexos;2010;25.030
25 Lleida;20-24 años;TOTAL;Ambos sexos;2009;25.583
25 Lleida;20-24 años;TOTAL;Ambos sexos;2008;25.283
25 Lleida;20-24 años;TOTAL;Ambos sexos;2007;24.836
25 Lleida;20-24 años;TOTAL;Ambos sexos;2006;25.524
25 Lleida;20-24 años;TOTAL;Ambos sexos;2005;25.816
25 Lleida;20-24 años;TOTAL;Ambos sexos;2004;25.427
25 Lleida;20-24 años;TOTAL;Ambos sexos;2003;26.040
25 Lleida;20-24 años;TOTAL;Ambos sexos;2002;26.583
25 Lleida;20-24 años;TOTAL;Ambos sexos;2001;26.764
25 Lleida;20-24 años;TOTAL;Ambos sexos;2000;27.100
25 Lleida;20-24 años;TOTAL;Ambos sexos;1999;27.065
25 Lleida;20-24 años;TOTAL;Ambos sexos;1998;26.973
25 Lleida;25-29 años;TOTAL;Ambos sexos;2022;23.522
25 Lleida;25-29 años;TOTAL;Ambos sexos;2021;23.376
25 Lleida;25-29 años;TOTAL;Ambos sexos;2020;23.478
25 Lleida;25-29 años;TOTAL;Ambos sexos;2019;23.338
25 Lleida;25-29 años;TOTAL;Ambos sexos;2018;23.357
25 Lleida;25-29 años;TOTAL;Ambos sexos;2017;23.446
25 Lleida;25-29 años;TOTAL;Ambos sexos;2016;24.108
25 Lleida;25-29 años;TOTAL;Ambos sexos;2015;24.985
25 Lleida;25-29 años;TOTAL;Ambos sexos;2014;25.978
25 Lleida;25-29 años;TOTAL;Ambos sexos;2013;27.199
25 Lleida;25-29 años;TOTAL;Ambos sexos;2012;28.734
25 Lleida;25-29 años;TOTAL;Ambos sexos;2011;30.513
25 Lleida;25-29 años;TOTAL;Ambos sexos;2010;32.144
25 Lleida;25-29 años;TOTAL;Ambos sexos;2009;33.915
25 Lleida;25-29 años;TOTAL;Ambos sexos;2008;34.492
25 Lleida;25-29 años;TOTAL;Ambos sexos;2007;34.352
25 Lleida;25-29 años;TOTAL;Ambos sexos;2006;35.037
25 Lleida;25-29 años;TOTAL;Ambos sexos;2005;34.781
25 Lleida;25-29 años;TOTAL;Ambos sexos;2004;32.466
25 Lleida;25-29 años;TOTAL;Ambos sexos;2003;31.260
25 Lleida;25-29 años;TOTAL;Ambos sexos;2002;29.845
25 Lleida;25-29 años;TOTAL;Ambos sexos;2001;28.210
25 Lleida;25-29 años;TOTAL;Ambos sexos;2000;27.423
25 Lleida;25-29 años;TOTAL;Ambos sexos;1999;26.419
25 Lleida;25-29 años;TOTAL;Ambos sexos;1998;26.253
25 Lleida;30-34 años;TOTAL;Ambos sexos;2022;25.177
25 Lleida;30-34 años;TOTAL;Ambos sexos;2021;25.380
25 Lleida;30-34 años;TOTAL;Ambos sexos;2020;25.728
25 Lleida;30-34 años;TOTAL;Ambos sexos;2019;25.851
25 Lleida;30-34 años;TOTAL;Ambos sexos;2018;26.027
25 Lleida;30-34 años;TOTAL;Ambos sexos;2017;27.060
25 Lleida;30-34 años;TOTAL;Ambos sexos;2016;28.848
25 Lleida;30-34 años;TOTAL;Ambos sexos;2015;30.721
25 Lleida;30-34 años;TOTAL;Ambos sexos;2014;32.837
25 Lleida;30-34 años;TOTAL;Ambos sexos;2013;35.320
25 Lleida;30-34 años;TOTAL;Ambos sexos;2012;37.515
25 Lleida;30-34 años;TOTAL;Ambos sexos;2011;39.080
25 Lleida;30-34 años;TOTAL;Ambos sexos;2010;39.715
25 Lleida;30-34 años;TOTAL;Ambos sexos;2009;39.972
25 Lleida;30-34 años;TOTAL;Ambos sexos;2008;38.761
25 Lleida;30-34 años;TOTAL;Ambos sexos;2007;36.804
25 Lleida;30-34 años;TOTAL;Ambos sexos;2006;35.479
25 Lleida;30-34 años;TOTAL;Ambos sexos;2005;34.095
25 Lleida;30-34 años;TOTAL;Ambos sexos;2004;31.326
25 Lleida;30-34 años;TOTAL;Ambos sexos;2003;29.833
25 Lleida;30-34 años;TOTAL;Ambos sexos;2002;28.771
25 Lleida;30-34 años;TOTAL;Ambos sexos;2001;27.979
25 Lleida;30-34 años;TOTAL;Ambos sexos;2000;27.861
25 Lleida;30-34 años;TOTAL;Ambos sexos;1999;27.748
25 Lleida;30-34 años;TOTAL;Ambos sexos;1998;28.216
25 Lleida;35-39 años;TOTAL;Ambos sexos;2022;28.439
25 Lleida;35-39 años;TOTAL;Ambos sexos;2021;29.455
25 Lleida;35-39 años;TOTAL;Ambos sexos;2020;30.608
25 Lleida;35-39 años;TOTAL;Ambos sexos;2019;31.923
25 Lleida;35-39 años;TOTAL;Ambos sexos;2018;33.640
25 Lleida;35-39 años;TOTAL;Ambos sexos;2017;35.253
25 Lleida;35-39 años;TOTAL;Ambos sexos;2016;36.850
25 Lleida;35-39 años;TOTAL;Ambos sexos;2015;37.850
25 Lleida;35-39 años;TOTAL;Ambos sexos;2014;38.768
25 Lleida;35-39 años;TOTAL;Ambos sexos;2013;39.142
25 Lleida;35-39 años;TOTAL;Ambos sexos;2012;38.996
25 Lleida;35-39 años;TOTAL;Ambos sexos;2011;38.130
25 Lleida;35-39 años;TOTAL;Ambos sexos;2010;37.579
25 Lleida;35-39 años;TOTAL;Ambos sexos;2009;36.757
25 Lleida;35-39 años;TOTAL;Ambos sexos;2008;35.475
25 Lleida;35-39 años;TOTAL;Ambos sexos;2007;33.949
25 Lleida;35-39 años;TOTAL;Ambos sexos;2006;33.619
25 Lleida;35-39 años;TOTAL;Ambos sexos;2005;32.546
25 Lleida;35-39 años;TOTAL;Ambos sexos;2004;31.218
25 Lleida;35-39 años;TOTAL;Ambos sexos;2003;30.587
25 Lleida;35-39 años;TOTAL;Ambos sexos;2002;29.918
25 Lleida;35-39 años;TOTAL;Ambos sexos;2001;29.402
25 Lleida;35-39 años;TOTAL;Ambos sexos;2000;28.843
25 Lleida;35-39 años;TOTAL;Ambos sexos;1999;28.060
25 Lleida;35-39 años;TOTAL;Ambos sexos;1998;27.568
25 Lleida;40-44 años;TOTAL;Ambos sexos;2022;35.870
25 Lleida;40-44 años;TOTAL;Ambos sexos;2021;37.016
25 Lleida;40-44 años;TOTAL;Ambos sexos;2020;37.475
25 Lleida;40-44 años;TOTAL;Ambos sexos;2019;37.615
25 Lleida;40-44 años;TOTAL;Ambos sexos;2018;37.216
25 Lleida;40-44 años;TOTAL;Ambos sexos;2017;36.930
25 Lleida;40-44 años;TOTAL;Ambos sexos;2016;36.381
25 Lleida;40-44 años;TOTAL;Ambos sexos;2015;36.208
25 Lleida;40-44 años;TOTAL;Ambos sexos;2014;35.839
25 Lleida;40-44 años;TOTAL;Ambos sexos;2013;35.764
25 Lleida;40-44 años;TOTAL;Ambos sexos;2012;35.802
25 Lleida;40-44 años;TOTAL;Ambos sexos;2011;35.605
25 Lleida;40-44 años;TOTAL;Ambos sexos;2010;35.124
25 Lleida;40-44 años;TOTAL;Ambos sexos;2009;34.937
25 Lleida;40-44 años;TOTAL;Ambos sexos;2008;34.114
25 Lleida;40-44 años;TOTAL;Ambos sexos;2007;32.986
25 Lleida;40-44 años;TOTAL;Ambos sexos;2006;32.628
25 Lleida;40-44 años;TOTAL;Ambos sexos;2005;31.751
25 Lleida;40-44 años;TOTAL;Ambos sexos;2004;30.216
25 Lleida;40-44 años;TOTAL;Ambos sexos;2003;29.290
25 Lleida;40-44 años;TOTAL;Ambos sexos;2002;28.270
25 Lleida;40-44 años;TOTAL;Ambos sexos;2001;26.791
25 Lleida;40-44 años;TOTAL;Ambos sexos;2000;25.909
25 Lleida;40-44 años;TOTAL;Ambos sexos;1999;24.896
25 Lleida;40-44 años;TOTAL;Ambos sexos;1998;24.233
25 Lleida;45-49 años;TOTAL;Ambos sexos;2022;37.192
25 Lleida;45-49 años;TOTAL;Ambos sexos;2021;36.146
25 Lleida;45-49 años;TOTAL;Ambos sexos;2020;35.459
25 Lleida;45-49 años;TOTAL;Ambos sexos;2019;34.715
25 Lleida;45-49 años;TOTAL;Ambos sexos;2018;34.351
25 Lleida;45-49 años;TOTAL;Ambos sexos;2017;34.155
25 Lleida;45-49 años;TOTAL;Ambos sexos;2016;34.271
25 Lleida;45-49 años;TOTAL;Ambos sexos;2015;34.052
25 Lleida;45-49 años;TOTAL;Ambos sexos;2014;34.180
25 Lleida;45-49 años;TOTAL;Ambos sexos;2013;34.093
25 Lleida;45-49 años;TOTAL;Ambos sexos;2012;33.839
25 Lleida;45-49 años;TOTAL;Ambos sexos;2011;33.697
25 Lleida;45-49 años;TOTAL;Ambos sexos;2010;33.139
25 Lleida;45-49 años;TOTAL;Ambos sexos;2009;32.450
25 Lleida;45-49 años;TOTAL;Ambos sexos;2008;31.436
25 Lleida;45-49 años;TOTAL;Ambos sexos;2007;30.141
25 Lleida;45-49 años;TOTAL;Ambos sexos;2006;28.718
25 Lleida;45-49 años;TOTAL;Ambos sexos;2005;27.533
25 Lleida;45-49 años;TOTAL;Ambos sexos;2004;25.956
25 Lleida;45-49 años;TOTAL;Ambos sexos;2003;24.980
25 Lleida;45-49 años;TOTAL;Ambos sexos;2002;24.121
25 Lleida;45-49 años;TOTAL;Ambos sexos;2001;23.178
25 Lleida;45-49 años;TOTAL;Ambos sexos;2000;22.675
25 Lleida;45-49 años;TOTAL;Ambos sexos;1999;22.386
25 Lleida;45-49 años;TOTAL;Ambos sexos;1998;22.110
25 Lleida;50-54 años;TOTAL;Ambos sexos;2022;33.771
25 Lleida;50-54 años;TOTAL;Ambos sexos;2021;33.609
25 Lleida;50-54 años;TOTAL;Ambos sexos;2020;33.275
25 Lleida;50-54 años;TOTAL;Ambos sexos;2019;33.087
25 Lleida;50-54 años;TOTAL;Ambos sexos;2018;32.715
25 Lleida;50-54 años;TOTAL;Ambos sexos;2017;32.412
25 Lleida;50-54 años;TOTAL;Ambos sexos;2016;32.348
25 Lleida;50-54 años;TOTAL;Ambos sexos;2015;32.108
25 Lleida;50-54 años;TOTAL;Ambos sexos;2014;31.624
25 Lleida;50-54 años;TOTAL;Ambos sexos;2013;31.139
25 Lleida;50-54 años;TOTAL;Ambos sexos;2012;30.580
25 Lleida;50-54 años;TOTAL;Ambos sexos;2011;29.413
25 Lleida;50-54 años;TOTAL;Ambos sexos;2010;28.310
25 Lleida;50-54 años;TOTAL;Ambos sexos;2009;27.221
25 Lleida;50-54 años;TOTAL;Ambos sexos;2008;26.221
25 Lleida;50-54 años;TOTAL;Ambos sexos;2007;25.080
25 Lleida;50-54 años;TOTAL;Ambos sexos;2006;24.235
25 Lleida;50-54 años;TOTAL;Ambos sexos;2005;23.564
25 Lleida;50-54 años;TOTAL;Ambos sexos;2004;22.858
25 Lleida;50-54 años;TOTAL;Ambos sexos;2003;22.548
25 Lleida;50-54 años;TOTAL;Ambos sexos;2002;21.899
25 Lleida;50-54 años;TOTAL;Ambos sexos;2001;21.578
25 Lleida;50-54 años;TOTAL;Ambos sexos;2000;21.321
25 Lleida;50-54 años;TOTAL;Ambos sexos;1999;21.071
25 Lleida;50-54 años;TOTAL;Ambos sexos;1998;20.223
25 Lleida;55-59 años;TOTAL;Ambos sexos;2022;31.807
25 Lleida;55-59 años;TOTAL;Ambos sexos;2021;31.603
25 Lleida;55-59 años;TOTAL;Ambos sexos;2020;31.144
25 Lleida;55-59 años;TOTAL;Ambos sexos;2019;30.401
25 Lleida;55-59 años;TOTAL;Ambos sexos;2018;29.777
25 Lleida;55-59 años;TOTAL;Ambos sexos;2017;29.169
25 Lleida;55-59 años;TOTAL;Ambos sexos;2016;28.132
25 Lleida;55-59 años;TOTAL;Ambos sexos;2015;27.255
25 Lleida;55-59 años;TOTAL;Ambos sexos;2014;26.373
25 Lleida;55-59 años;TOTAL;Ambos sexos;2013;25.733
25 Lleida;55-59 años;TOTAL;Ambos sexos;2012;25.179
25 Lleida;55-59 años;TOTAL;Ambos sexos;2011;24.357
25 Lleida;55-59 años;TOTAL;Ambos sexos;2010;23.824
25 Lleida;55-59 años;TOTAL;Ambos sexos;2009;23.378
25 Lleida;55-59 años;TOTAL;Ambos sexos;2008;22.970
25 Lleida;55-59 años;TOTAL;Ambos sexos;2007;22.209
25 Lleida;55-59 años;TOTAL;Ambos sexos;2006;21.896
25 Lleida;55-59 años;TOTAL;Ambos sexos;2005;21.544
25 Lleida;55-59 años;TOTAL;Ambos sexos;2004;21.072
25 Lleida;55-59 años;TOTAL;Ambos sexos;2003;20.321
25 Lleida;55-59 años;TOTAL;Ambos sexos;2002;19.573
25 Lleida;55-59 años;TOTAL;Ambos sexos;2001;18.819
25 Lleida;55-59 años;TOTAL;Ambos sexos;2000;18.515
25 Lleida;55-59 años;TOTAL;Ambos sexos;1999;16.672
25 Lleida;55-59 años;TOTAL;Ambos sexos;1998;15.673
25 Lleida;60-64 años;TOTAL;Ambos sexos;2022;28.389
25 Lleida;60-64 años;TOTAL;Ambos sexos;2021;27.265
25 Lleida;60-64 años;TOTAL;Ambos sexos;2020;26.250
25 Lleida;60-64 años;TOTAL;Ambos sexos;2019;25.189
25 Lleida;60-64 años;TOTAL;Ambos sexos;2018;24.475
25 Lleida;60-64 años;TOTAL;Ambos sexos;2017;23.864
25 Lleida;60-64 años;TOTAL;Ambos sexos;2016;23.214
25 Lleida;60-64 años;TOTAL;Ambos sexos;2015;22.825
25 Lleida;60-64 años;TOTAL;Ambos sexos;2014;22.548
25 Lleida;60-64 años;TOTAL;Ambos sexos;2013;22.457
25 Lleida;60-64 años;TOTAL;Ambos sexos;2012;22.028
25 Lleida;60-64 años;TOTAL;Ambos sexos;2011;21.716
25 Lleida;60-64 años;TOTAL;Ambos sexos;2010;21.380
25 Lleida;60-64 años;TOTAL;Ambos sexos;2009;21.018
25 Lleida;60-64 años;TOTAL;Ambos sexos;2008;20.251
