year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2014,C. Valenciana,Alicante,1148660,2602,3650,67,268,3315,361,15.51,236.0,0.0,58.32,73.0,10.82,907.63,201.0,1010.17,0.0,159.0,0.0
2014,Andalucía,Almería,448508,691,1096,19,94,983,174,101.25,203.0,0.0,2.41,1.0,0.0,703.82,140.0,1169.0,0.0,28.0,0.0
2014,Castilla y León,Ávila,97876,464,660,12,71,577,61,0.0,87.0,0.0,0.0,3.0,0.0,987.57,346.0,1065.0,0.0,37.0,0.0
2014,Extremadura,Badajoz,424081,925,1380,40,147,1193,221,16.88,239.0,0.0,16.6,16.0,0.0,2095.29,572.0,1917.29,0.0,0.0,0.0
2014,Islas Baleares,Baleares,716439,3229,4452,50,340,4062,171,,0.0,93.52,,0.0,93.02,,0.0,1979.06,,0.0,0.0
2014,Cataluña,Barcelona,3423132,18473,24758,159,1172,23427,711,309.75,139.0,0.0,49.4,1.0,0.0,1590.59,49.0,1575.45,157.67,119.0,0.0
2014,Castilla y León,Burgos,223226,747,1048,24,123,901,123,46.75,180.0,0.0,5.88,15.0,0.0,1765.7,664.0,2289.44,0.0,76.0,0.0
2014,Extremadura,Cáceres,247866,472,725,16,61,648,116,107.1,337.0,0.0,10.64,20.0,0.0,1574.07,409.0,1835.0,0.0,0.0,0.0
2014,Andalucía,Cádiz,784751,2709,4217,41,202,3974,212,138.09,117.0,0.0,15.05,36.0,0.0,880.86,114.0,806.68,0.0,48.0,0.0
2014,C. Valenciana,Castellón,366427,672,910,29,92,789,169,46.22,75.0,0.0,45.85,4.0,0.0,876.96,263.0,750.37,0.0,120.0,0.0
2014,Castilla-La Mancha,Ciudad Real,317872,635,992,19,79,894,185,80.96,257.0,0.0,3.82,8.0,0.0,1720.13,461.0,1724.0,0.0,0.0,0.0
2014,Andalucía,Córdoba,489061,1418,1997,37,151,1809,217,9.97,173.0,0.0,17.5,5.0,0.0,1620.37,418.0,1807.1,0.0,0.0,0.0
2014,Galicia,"Coruña, A",694134,1114,1661,55,226,1380,245,102.04,68.0,0.0,2.55,53.0,0.0,1579.44,280.0,2117.0,33.3,146.0,0.0
2014,Castilla-La Mancha,Cuenca,123542,362,562,17,44,501,140,0.0,346.0,0.0,0.0,0.0,0.0,1718.81,584.0,1557.2,0.0,50.0,0.0
2014,Cataluña,Gerona,468558,2329,3249,27,261,2961,221,99.89,27.0,0.0,11.97,6.0,2.59,1190.96,287.0,672.97,0.0,93.0,0.0
2014,Andalucía,Granada,571443,1421,2186,49,181,1956,257,235.61,163.0,0.0,11.81,1.0,4.07,1390.56,182.0,1260.63,0.0,0.0,0.0
2014,Castilla-La Mancha,Guadalajara,161158,222,295,14,24,257,77,9.26,100.0,0.0,0.0,1.0,0.0,1461.81,292.0,1568.0,0.0,24.0,0.0
2014,País Vasco,Guipúzcoa,432564,1902,2443,16,202,2225,118,,0.0,42.64,,0.0,78.38,,0.0,1183.07,,0.0,95.64
2014,Andalucía,Huelva,329178,624,962,19,67,876,126,33.29,126.0,0.0,6.42,22.0,0.0,728.16,302.0,840.01,0.0,0.0,0.0
2014,Aragón,Huesca,135412,387,563,24,108,431,113,0.0,156.0,0.0,0.0,1.0,0.0,2073.02,669.0,1386.0,0.0,50.0,0.0
2014,Andalucía,Jaén,401869,1062,1612,30,119,1463,216,44.96,192.0,0.0,0.0,0.0,0.0,1409.82,258.0,1562.83,0.0,0.0,0.0
2014,Castilla y León,León,290792,609,916,32,100,784,150,67.89,232.0,0.0,5.79,22.0,0.0,1714.92,589.0,3310.32,0.0,94.0,0.0
2014,Cataluña,Lérida,270435,1144,1656,37,194,1425,190,28.38,128.0,0.0,0.0,11.0,0.0,1528.66,315.0,820.03,0.0,60.0,0.0
2014,La Rioja,"Rioja, La",195155,650,953,11,66,876,76,0.0,57.0,,3.0,1.0,,1433.0,255.0,,0.0,119.0,
2014,Galicia,Lugo,200419,546,779,33,100,646,110,16.16,196.0,0.0,2.41,11.0,0.0,1438.93,506.0,4208.0,0.0,0.0,0.0
2014,Madrid,Madrid,4102512,15078,19942,114,1416,18412,616,128.16,494.0,,201.41,7.0,,2243.32,106.0,,0.0,161.0,
2014,Andalucía,Málaga,1016717,2579,3570,40,265,3265,268,97.18,219.0,0.0,11.36,30.0,0.0,1175.2,31.0,859.6,0.0,122.0,0.0
2014,Murcia,Murcia,912621,826,1422,61,173,1188,366,167.4,287.0,,80.1,12.0,,2708.96,142.0,,0.0,115.0,
2014,Navarra,Navarra,390698,457,644,41,92,511,224,233.78,0.0,,25.6,0.0,,3470.58,0.0,,98.88,39.0,
2014,Galicia,Orense,183075,373,513,18,88,407,94,47.97,168.0,0.0,3.07,8.0,0.0,981.1,345.0,1840.07,0.0,0.0,0.0
2014,Asturias,Asturias,658557,2262,3331,38,254,3039,215,74.45,358.0,,7.02,6.0,,4115.62,469.0,,0.0,22.0,
