year,region,province,95,98,A,B
2018,Castilla-La Mancha,Guadalajara,4,56,85,17
2018,Castilla-La Mancha,Toledo,3,155,300,139
2018,Castilla y León,Burgos,0,81,133,41
2018,Castilla y León,León,4,102,156,33
2018,Castilla y León,Palencia,0,42,66,20
2018,Castilla y León,Salamanca,1,65,103,27
2018,Castilla y León,Segovia,1,42,68,24
2018,Castilla y León,Soria,0,24,38,10
2018,Castilla y León,Valladolid,0,83,140,33
2018,Castilla y León,Zamora,1,47,75,30
2018,Castilla y León,Ávila,0,44,66,21
2018,Cataluña,Barcelona,22,542,757,42
2018,Cataluña,Gerona,3,166,243,40
2018,Cataluña,Lérida,2,93,184,70
2018,Cataluña,Tarragona,0,145,224,58
2018,Ceuta,Ceuta,0,9,9,0
2018,C. Valenciana,Alicante,4,288,408,66
2018,C. Valenciana,Castellón,1,100,173,62
2018,C. Valenciana,Valencia,27,347,614,157
2018,Extremadura,Badajoz,6,83,255,108
2018,Extremadura,Cáceres,1,57,142,54
2018,Galicia,"Coruña, A",2,192,256,97
2018,Galicia,Lugo,0,69,117,61
2018,Galicia,Orense,0,72,88,29
2018,Galicia,Pontevedra,1,141,180,33
2018,Madrid,Madrid,41,510,710,42
2018,Melilla,Melilla,0,0,12,0
2018,Murcia,Murcia,8,261,410,133
2018,Navarra,Navarra,0,80,237,119
2018,País Vasco,Guipúzcoa,1,86,119,28
2018,País Vasco,Vizcaya,0,90,119,15
2018,País Vasco,Álava,0,43,67,16
2018,La Rioja,"Rioja, La",0,41,83,35
2019,Andalucía,Almería,7,100,193,65
2019,Andalucía,Cádiz,25,135,263,51
2019,Andalucía,Córdoba,16,80,232,121
2019,Andalucía,Granada,7,161,273,74
2019,Andalucía,Huelva,9,65,135,52
2019,Andalucía,Jaén,10,87,245,170
2019,Andalucía,Málaga,18,185,308,62
2019,Andalucía,Sevilla,28,182,446,124
2019,Aragón,Huesca,2,57,116,57
2019,Aragón,Teruel,2,37,85,81
2019,Aragón,Zaragoza,5,120,243,126
2019,Asturias,Asturias,14,137,215,64
2019,Islas Baleares,Baleares,22,130,194,37
2019,Canarias,"Palmas, Las",2,222,229,0
2019,Canarias,"Tenerife, S.C.",2,221,227,0
2019,Cantabria,Cantabria,2,101,142,32
2019,Castilla-La Mancha,Albacete,4,87,160,60
2019,Castilla-La Mancha,Ciudad Real,5,96,219,109
2019,Castilla-La Mancha,Cuenca,7,49,154,89
2019,Castilla-La Mancha,Guadalajara,8,55,89,18
2019,Castilla-La Mancha,Toledo,6,151,302,136
2019,Castilla y León,Burgos,5,76,136,40
2019,Castilla y León,León,8,105,164,32
2019,Castilla y León,Palencia,1,42,67,19
2019,Castilla y León,Salamanca,2,62,103,25
