year,region,province,population
2018,Cataluña,Gerona,463853
2018,Andalucía,Granada,564234
2018,Castilla-La Mancha,Guadalajara,158229
2018,País Vasco,Guipúzcoa,423999
2018,Andalucía,Huelva,326205
2018,Aragón,Huesca,130476
2018,Andalucía,Jaén,391566
2018,Castilla y León,León,272514
2018,Cataluña,Lérida,263013
2018,La Rioja,"Rioja, La",189291
2018,Galicia,Lugo,190844
2018,Madrid,Madrid,4089450
2018,Andalucía,Málaga,1016507
2018,Murcia,Murcia,909657
2018,Navarra,Navarra,387059
2018,Galicia,Orense,171804
2018,Asturias,Asturias,617956
2018,Castilla y León,Palencia,96947
2018,Canarias,"Palmas, Las",734813
2018,Galicia,Pontevedra,570197
2018,Castilla y León,Salamanca,192232
2018,Canarias,"Tenerife, S.C.",662687
2018,Cantabria,Cantabria,352783
2018,Castilla y León,Segovia,91466
2018,Andalucía,Sevilla,1197215
2018,Castilla y León,Soria,51148
2018,Cataluña,Tarragona,479747
2018,Aragón,Teruel,78784
2018,Castilla-La Mancha,Toledo,416698
2018,C. Valenciana,Valencia,1564131
2018,Castilla y León,Valladolid,311053
2018,País Vasco,Vizcaya,689563
2018,Castilla y León,Zamora,98480
2018,Aragón,Zaragoza,572418
2018,Ceuta,Ceuta,52278
2018,Melilla,Melilla,51939
2019,País Vasco,Álava,198373
2019,Castilla-La Mancha,Albacete,237648
2019,C. Valenciana,Alicante,1126713
2019,Andalucía,Almería,451518
2019,Castilla y León,Ávila,91054
2019,Extremadura,Badajoz,411619
2019,Islas Baleares,Baleares,740355
2019,Cataluña,Barcelona,3456615
2019,Castilla y León,Burgos,210542
2019,Extremadura,Cáceres,236988
2019,Andalucía,Cádiz,770368
2019,C. Valenciana,Castellón,352780
2019,Castilla-La Mancha,Ciudad Real,300513
2019,Andalucía,Córdoba,476562
2019,Galicia,"Coruña, A",663929
2019,Castilla-La Mancha,Cuenca,116521
2019,Cataluña,Gerona,469128
2019,Andalucía,Granada,565225
2019,Castilla-La Mancha,Guadalajara,160048
2019,País Vasco,Guipúzcoa,424225
2019,Andalucía,Huelva,327297
2019,Aragón,Huesca,130956
2019,Andalucía,Jaén,388229
2019,Castilla y León,León,268912
2019,Cataluña,Lérida,263786
2019,La Rioja,"Rioja, La",189462
2019,Galicia,Lugo,188881
2019,Madrid,Madrid,4137095
2019,Andalucía,Málaga,1027956
2019,Murcia,Murcia,918840
2019,Navarra,Navarra,390437
2019,Galicia,Orense,170100
2019,Asturias,Asturias,609779
2019,Castilla y León,Palencia,95617
2019,Canarias,"Palmas, Las",742203
2019,Galicia,Pontevedra,568152
2019,Castilla y León,Salamanca,190842
2019,Canarias,"Tenerife, S.C.",672038
2019,Cantabria,Cantabria,351242
2019,Castilla y León,Segovia,91320
2019,Andalucía,Sevilla,1195328
2019,Castilla y León,Soria,51127
2019,Cataluña,Tarragona,484098
2019,Aragón,Teruel,78427
2019,Castilla-La Mancha,Toledo,421104
2019,C. Valenciana,Valencia,1570832
2019,Castilla y León,Valladolid,308856
2019,País Vasco,Vizcaya,688423
2019,Castilla y León,Zamora,96907
2019,Aragón,Zaragoza,578041
2019,Ceuta,Ceuta,52023
2019,Melilla,Melilla,52007
2020,País Vasco,Álava,198978
2020,Castilla-La Mancha,Albacete,238018
2020,C. Valenciana,Alicante,1139374
2020,Andalucía,Almería,457956
2020,Castilla y León,Ávila,90838
2020,Extremadura,Badajoz,410587
2020,Islas Baleares,Baleares,756163
2020,Cataluña,Barcelona,3511690
2020,Castilla y León,Burgos,210180
2020,Extremadura,Cáceres,234854
2020,Andalucía,Cádiz,771181
2020,C. Valenciana,Castellón,356029
2020,Castilla-La Mancha,Ciudad Real,300216
2020,Andalucía,Córdoba,474852
2020,Galicia,"Coruña, A",662543
2020,Castilla-La Mancha,Cuenca,116995
2020,Cataluña,Gerona,475416
2020,Andalucía,Granada,567334
2020,Castilla-La Mancha,Guadalajara,162873
2020,País Vasco,Guipúzcoa,425666
2020,Andalucía,Huelva,328454
2020,Aragón,Huesca,132361
2020,Andalucía,Jaén,386915
2020,Castilla y León,León,265480
2020,Cataluña,Lérida,265739
2020,La Rioja,"Rioja, La",191117
2020,Galicia,Lugo,187237
2020,Madrid,Madrid,4215657
2020,Andalucía,Málaga,1042378
2020,Murcia,Murcia,930276
2020,Navarra,Navarra,394319
2020,Galicia,Orense,169042
2020,Asturias,Asturias,603360
2020,Castilla y León,Palencia,94654
2020,Canarias,"Palmas, Las",749594
2020,Galicia,Pontevedra,567844
2020,Castilla y León,Salamanca,189814
2020,Canarias,"Tenerife, S.C.",680261
2020,Cantabria,Cantabria,350739
2020,Castilla y León,Segovia,91432
2020,Andalucía,Sevilla,1199185
2020,Castilla y León,Soria,51359
2020,Cataluña,Tarragona,490988
2020,Aragón,Teruel,78557
2020,Castilla-La Mancha,Toledo,426484
2020,C. Valenciana,Valencia,1586773
2020,Castilla y León,Valladolid,308055
2020,País Vasco,Vizcaya,691261
2020,Castilla y León,Zamora,95395
2020,Aragón,Zaragoza,582445
2020,Ceuta,Ceuta,51695
2020,Melilla,Melilla,52147
2021,País Vasco,Álava,198216
2021,Castilla-La Mancha,Albacete,237644
2021,C. Valenciana,Alicante,1139937
2021,Andalucía,Almería,459604
2021,Castilla y León,Ávila,91627
2021,Extremadura,Badajoz,409336
2021,Islas Baleares,Baleares,755255
2021,Cataluña,Barcelona,3497821
2021,Castilla y León,Burgos,209223
2021,Extremadura,Cáceres,233573
2021,Andalucía,Cádiz,771691
2021,C. Valenciana,Castellón,356622
2021,Castilla-La Mancha,Ciudad Real,299845
2021,Andalucía,Córdoba,471709
2021,Galicia,"Coruña, A",659456
2021,Castilla-La Mancha,Cuenca,117390
2021,Cataluña,Gerona,478341
2021,Andalucía,Granada,569580
2021,Castilla-La Mancha,Guadalajara,165773
2021,País Vasco,Guipúzcoa,424415
2021,Andalucía,Huelva,328920
2021,Aragón,Huesca,133634
2021,Andalucía,Jaén,385086
2021,Castilla y León,León,262359
2021,Cataluña,Lérida,266574
2021,La Rioja,"Rioja, La",190822
2021,Galicia,Lugo,185573
2021,Madrid,Madrid,4201225
2021,Andalucía,Málaga,1047935
2021,Murcia,Murcia,935190
2021,Navarra,Navarra,394345
2021,Galicia,Orense,168130
2021,Asturias,Asturias,596300
2021,Castilla y León,Palencia,93440
2021,Canarias,"Palmas, Las",747475
2021,Galicia,Pontevedra,565545
2021,Castilla y León,Salamanca,188864
2021,Canarias,"Tenerife, S.C.",679010
2021,Cantabria,Cantabria,350763
2021,Castilla y León,Segovia,91987
2021,Andalucía,Sevilla,1197241
2021,Castilla y León,Soria,51636
2021,Cataluña,Tarragona,494173
2021,Aragón,Teruel,79057
2021,Castilla-La Mancha,Toledo,431529
2021,C. Valenciana,Valencia,1584105
2021,Castilla y León,Valladolid,306606
2021,País Vasco,Vizcaya,686006
2021,Castilla y León,Zamora,94384
2021,Aragón,Zaragoza,578554
2021,Ceuta,Ceuta,51439
2021,Melilla,Melilla,51789
2022,País Vasco,Álava,197716
2022,Castilla-La Mancha,Albacete,237025
2022,C. Valenciana,Alicante,1148829
2022,Andalucía,Almería,464984
2022,Castilla y León,Ávila,91134
2022,Extremadura,Badajoz,407094
2022,Islas Baleares,Baleares,754802
2022,Cataluña,Barcelona,3503649
2022,Castilla y León,Burgos,207692
2022,Extremadura,Cáceres,231702
2022,Andalucía,Cádiz,771236
2022,C. Valenciana,Castellón,358429
2022,Castilla-La Mancha,Ciudad Real,298282
2022,Andalucía,Córdoba,467855
2022,Galicia,"Coruña, A",656131
2022,Castilla-La Mancha,Cuenca,117112
2022,Cataluña,Gerona,482091
2022,Andalucía,Granada,568552
2022,Castilla-La Mancha,Guadalajara,167355
2022,País Vasco,Guipúzcoa,422052
2022,Andalucía,Huelva,331016
2022,Aragón,Huesca,134166
2022,Andalucía,Jaén,381995
2022,Castilla y León,León,258422
2022,Cataluña,Lérida,267382
2022,La Rioja,"Rioja, La",190169
2022,Galicia,Lugo,183328
2022,Madrid,Madrid,4190203
2022,Andalucía,Málaga,1059748
2022,Murcia,Murcia,943793
2022,Navarra,Navarra,394803
2022,Galicia,Orense,166930
2022,Asturias,Asturias,587377
2022,Castilla y León,Palencia,92015
2022,Canarias,"Palmas, Las",746744
2022,Galicia,Pontevedra,562605
2022,Castilla y León,Salamanca,187018
2022,Canarias,"Tenerife, S.C.",680052
2022,Cantabria,Cantabria,349478
2022,Castilla y León,Segovia,91843
2022,Andalucía,Sevilla,1196864
2022,Castilla y León,Soria,51304
2022,Cataluña,Tarragona,498113
2022,Aragón,Teruel,78748
2022,Castilla-La Mancha,Toledo,433338
2022,C. Valenciana,Valencia,1593601
2022,Castilla y León,Valladolid,303867
2022,País Vasco,Vizcaya,680078
2022,Castilla y León,Zamora,92999
2022,Aragón,Zaragoza,576511
2022,Ceuta,Ceuta,51147
2022,Melilla,Melilla,51380
