year,region,province,acc with victims,total injuried,mortals,hosp injuries,minor injuries
2020,Castilla-La Mancha,Ciudad Real,351,469,29,43,397
2021,Castilla-La Mancha,Ciudad Real,385,576,24,59,493
2022,Castilla-La Mancha,Ciudad Real,414,584,29,48,507
2013,Castilla-La Mancha,Cuenca,374,599,30,69,500
2014,Castilla-La Mancha,Cuenca,362,562,17,44,501
2015,Castilla-La Mancha,Cuenca,316,488,16,57,415
2016,Castilla-La Mancha,Cuenca,294,459,15,74,370
2017,Castilla-La Mancha,Cuenca,282,414,18,64,332
2018,Castilla-La Mancha,Cuenca,250,392,20,65,307
2019,Castilla-La Mancha,Cuenca,271,394,8,61,325
2020,Castilla-La Mancha,Cuenca,166,243,18,34,191
2021,Castilla-La Mancha,Cuenca,286,443,27,55,361
2022,Castilla-La Mancha,Cuenca,288,459,23,63,373
2013,Castilla-La Mancha,Guadalajara,281,418,8,52,358
2014,Castilla-La Mancha,Guadalajara,222,295,14,24,257
2015,Castilla-La Mancha,Guadalajara,218,314,11,48,255
2016,Castilla-La Mancha,Guadalajara,254,387,7,40,340
2017,Castilla-La Mancha,Guadalajara,257,385,12,42,331
2018,Castilla-La Mancha,Guadalajara,327,482,10,29,443
2019,Castilla-La Mancha,Guadalajara,312,449,6,30,413
2020,Castilla-La Mancha,Guadalajara,277,359,12,22,325
2021,Castilla-La Mancha,Guadalajara,315,435,6,32,397
2022,Castilla-La Mancha,Guadalajara,372,521,9,39,473
2013,Castilla-La Mancha,Toledo,884,1348,25,142,1181
2014,Castilla-La Mancha,Toledo,709,1130,34,117,979
2015,Castilla-La Mancha,Toledo,849,1292,31,128,1133
2016,Castilla-La Mancha,Toledo,906,1392,42,139,1211
2017,Castilla-La Mancha,Toledo,836,1341,50,107,1184
2018,Castilla-La Mancha,Toledo,709,1169,34,109,1026
2019,Castilla-La Mancha,Toledo,777,1156,29,89,1038
2020,Castilla-La Mancha,Toledo,595,832,27,67,738
2021,Castilla-La Mancha,Toledo,681,978,36,87,855
2022,Castilla-La Mancha,Toledo,880,1303,23,86,1194
2013,Castilla y León,Burgos,836,1167,36,150,981
2014,Castilla y León,Burgos,747,1048,24,123,901
2015,Castilla y León,Burgos,788,1144,32,140,972
2016,Castilla y León,Burgos,845,1235,36,149,1050
2017,Castilla y León,Burgos,807,1084,31,120,933
2018,Castilla y León,Burgos,749,1094,32,109,953
2019,Castilla y León,Burgos,638,871,14,83,774
2020,Castilla y León,Burgos,375,539,19,74,446
2021,Castilla y León,Burgos,552,726,15,65,646
2022,Castilla y León,Burgos,619,792,33,97,662
2013,Castilla y León,León,827,1238,26,132,1080
2014,Castilla y León,León,609,916,32,100,784
2015,Castilla y León,León,810,1234,39,170,1025
2016,Castilla y León,León,899,1284,25,189,1070
2017,Castilla y León,León,859,1214,22,167,1025
2018,Castilla y León,León,819,1173,35,133,1005
