year,region,province,owner,free_motorways,multiple_road,single_road,toll_motorways
2013,Castilla y León,Soria,State,"118,69","1,85",0,"0,00"
2013,Castilla y León,Soria,State,0,0,"407,52",0
2013,Castilla y León,Soria,provincial,0,0,"1.881,55",0
2013,Castilla y León,Valladolid,CCAA,"40,73",0,0,0
2013,Castilla y León,Valladolid,CCAA,0,0,"1.042,70",0
2013,Castilla y León,Valladolid,State,"251,62","14,29",0,"0,00"
2013,Castilla y León,Valladolid,State,0,0,"269,42",0
2013,Castilla y León,Valladolid,provincial,0,0,"1.430,17",0
2013,Castilla y León,Zamora,CCAA,0,0,"1.151,74",0
2013,Castilla y León,Zamora,State,"285,16","14,35",0,"0,00"
2013,Castilla y León,Zamora,State,0,0,"423,12",0
2013,Castilla y León,Zamora,provincial,0,0,"1.561,44",0
2013,Castilla y León,Ávila,CCAA,0,"2,01",0,0
2013,Castilla y León,Ávila,CCAA,0,0,"986,73",0
2013,Castilla y León,Ávila,State,"86,97","3,24",0,"37,40"
2013,Castilla y León,Ávila,State,0,0,"346,39",0
2013,Castilla y León,Ávila,provincial,0,0,"1.065,00",0
2013,Cataluña,Barcelona,CCAA,"294,05","49,40",0,"157,67"
2013,Cataluña,Barcelona,CCAA,0,0,"1.480,16",0
2013,Cataluña,Barcelona,State,"139,19","1,05",0,"118,93"
2013,Cataluña,Barcelona,State,0,0,"49,22",0
2013,Cataluña,Barcelona,provincial,0,0,"1.585,21",0
2013,Cataluña,Gerona,CCAA,"99,89","11,97",0,0
2013,Cataluña,Gerona,CCAA,0,0,"1.159,87",0
2013,Cataluña,Gerona,State,"26,95","6,34",0,"92,62"
2013,Cataluña,Gerona,State,0,0,"286,77",0
2013,Cataluña,Gerona,provincial,0,"2,59",0,0
2013,Cataluña,Gerona,provincial,0,0,"680,43",0
2013,Cataluña,Lérida,CCAA,"19,26",0,0,0
2013,Cataluña,Lérida,CCAA,0,0,"1.543,58",0
2013,Cataluña,Lérida,State,"127,86","10,65",0,"60,47"
2013,Cataluña,Lérida,State,0,0,"314,77",0
2013,Cataluña,Lérida,provincial,0,0,"824,75",0
2013,Cataluña,Tarragona,CCAA,"30,39","22,55",0,"10,59"
2013,Cataluña,Tarragona,CCAA,0,0,"1.052,81",0
2013,Cataluña,Tarragona,State,"76,27","16,11",0,"191,13"
2013,Cataluña,Tarragona,State,0,0,"284,57",0
2013,Cataluña,Tarragona,provincial,0,"6,22",0,0
2013,Cataluña,Tarragona,provincial,0,0,"1.080,41",0
2013,Ceuta,Ceuta,CCAA,0,0,"18,00",0
2013,Ceuta,Ceuta,State,"0,00","1,37",0,"0,00"
2013,Ceuta,Ceuta,State,0,0,"17,46",0
2013,C. Valenciana,Alicante,CCAA,"15,49","58,40",0,0
2013,C. Valenciana,Alicante,CCAA,0,0,"906,90",0
2013,C. Valenciana,Alicante,State,"235,90","65,29",0,"159,46"
2013,C. Valenciana,Alicante,State,0,0,"208,49",0
2013,C. Valenciana,Alicante,provincial,0,"16,08",0,0
2013,C. Valenciana,Alicante,provincial,0,0,"996,38",0
2013,C. Valenciana,Castellón,CCAA,"46,22","44,45",0,0
2013,C. Valenciana,Castellón,CCAA,0,0,"873,78",0
2013,C. Valenciana,Castellón,State,"74,63","3,66",0,"119,88"
2013,C. Valenciana,Castellón,State,0,0,"262,93",0
2013,C. Valenciana,Castellón,provincial,0,0,"750,37",0
2013,C. Valenciana,Valencia,CCAA,"110,53","47,62",0,0
2013,C. Valenciana,Valencia,CCAA,0,0,"644,68",0
2013,C. Valenciana,Valencia,State,"292,39","49,35",0,"87,78"
2013,C. Valenciana,Valencia,State,0,0,"385,45",0
2013,C. Valenciana,Valencia,provincial,0,"3,50",0,0
2013,C. Valenciana,Valencia,provincial,0,0,"1.816,50",0
2013,Extremadura,Badajoz,CCAA,"16,88","24,26",0,0
2013,Extremadura,Badajoz,CCAA,0,0,"2.090,87",0
2013,Extremadura,Badajoz,State,"238,74","15,76",0,"0,00"
2013,Extremadura,Badajoz,State,0,0,"572,40",0
2013,Extremadura,Badajoz,provincial,0,0,"1.917,29",0
2013,Extremadura,Cáceres,CCAA,"100,98","12,30",0,0
2013,Extremadura,Cáceres,CCAA,0,0,"1.590,85",0
2013,Extremadura,Cáceres,State,"337,00","20,18",0,"0,00"
2013,Extremadura,Cáceres,State,0,0,"408,45",0
2013,Extremadura,Cáceres,provincial,0,0,"1.819,80",0
2013,Galicia,"Coruña, A",CCAA,"102,04","2,55",0,"33,30"
2013,Galicia,"Coruña, A",CCAA,0,0,"1.580,53",0
2013,Galicia,"Coruña, A",State,"67,74","52,55",0,"146,32"
2013,Galicia,"Coruña, A",State,0,0,"279,88",0
2013,Galicia,"Coruña, A",provincial,0,0,"2.119,00",0
2013,Galicia,Lugo,CCAA,"16,16","2,41",0,0
2013,Galicia,Lugo,CCAA,0,0,"1.438,93",0
2013,Galicia,Lugo,State,"180,26","11,10",0,"0,00"
2013,Galicia,Lugo,State,0,0,"506,28",0
2013,Galicia,Lugo,provincial,0,0,"4.208,00",0
2013,Galicia,Orense,CCAA,"47,97","2,00",0,0
2013,Galicia,Orense,CCAA,0,0,"983,97",0
2013,Galicia,Orense,State,"168,36","8,20",0,"0,00"
2013,Galicia,Orense,State,0,0,"345,03",0
2013,Galicia,Orense,provincial,0,0,"1.840,07",0
2013,Galicia,Pontevedra,CCAA,"24,98","6,44",0,"20,98"
2013,Galicia,Pontevedra,CCAA,0,0,"1.229,35",0
2013,Galicia,Pontevedra,State,"80,31","6,32",0,"126,71"
2013,Galicia,Pontevedra,State,0,0,"317,30",0
2013,Galicia,Pontevedra,provincial,0,0,"1.686,00",0
2013,Madrid,Madrid,CCAA,"122,56","204,61",0,0
2013,Madrid,Madrid,CCAA,0,0,"2.245,78",0
2013,Madrid,Madrid,State,"493,61","7,05",0,"160,82"
2013,Madrid,Madrid,State,0,0,"106,05",0
2013,Melilla,Melilla,CCAA,0,"0,53",0,0
2013,Melilla,Melilla,CCAA,0,0,"16,39",0
2013,Melilla,Melilla,State,"0,00","1,02",0,"0,00"
2013,Melilla,Melilla,State,0,0,"8,89",0
2013,Murcia,Murcia,CCAA,"167,40","80,10",0,0
2013,Murcia,Murcia,CCAA,0,0,"2.719,41",0
2013,Murcia,Murcia,State,"286,73","12,48",0,"114,64"
2013,Murcia,Murcia,State,0,0,"142,84",0
2013,Navarra,Navarra,CCAA,"233,78","23,99",0,"99,57"
2013,Navarra,Navarra,CCAA,0,0,"3.472,19",0
2013,Navarra,Navarra,State,"0,00","0,00",0,"39,03"
2013,Navarra,Navarra,State,0,0,"0,00",0
2013,País Vasco,Guipúzcoa,State,"0,00","0,00",0,"0,00"
2013,País Vasco,Guipúzcoa,State,0,0,"0,00",0
2013,País Vasco,Guipúzcoa,provincial,"100,10","20,92",0,"95,64"
2013,País Vasco,Guipúzcoa,provincial,0,0,"1.184,02",0
2013,País Vasco,Vizcaya,State,"0,00","0,00",0,"22,40"
2013,País Vasco,Vizcaya,State,0,0,"0,00",0
2013,País Vasco,Vizcaya,provincial,"92,17","34,86",0,"54,89"
2013,País Vasco,Vizcaya,provincial,0,0,"1.106,73",0
2013,País Vasco,Álava,State,"0,00","0,00",0,"60,89"
2013,País Vasco,Álava,State,0,0,"0,00",0
2013,País Vasco,Álava,provincial,"92,27","11,96",0,"14,23"
2013,País Vasco,Álava,provincial,0,0,"1.283,98",0
2013,La Rioja,"Rioja, La",CCAA,0,"3,00",0,0
2013,La Rioja,"Rioja, La",CCAA,0,0,"1.433,00",0
2013,La Rioja,"Rioja, La",State,"45,72","1,38",0,"119,10"
2013,La Rioja,"Rioja, La",State,0,0,"254,63",0
2014,Andalucía,Almería,CCAA,"101,25","2,41",0,0
2014,Andalucía,Almería,CCAA,0,0,"703,82",0
2014,Andalucía,Almería,State,"203,00","1,00",0,"28,00"
2014,Andalucía,Almería,State,0,0,"140,00",0
2014,Andalucía,Almería,provincial,0,0,"1.169,00",0
2014,Andalucía,Cádiz,CCAA,"138,09","15,05",0,0
2014,Andalucía,Cádiz,CCAA,0,0,"880,86",0
2014,Andalucía,Cádiz,State,"117,00","36,00",0,"48,00"
