year,region,province,population
2003,Cataluña,Gerona,389615
2003,Andalucía,Granada,505476
2003,Castilla-La Mancha,Guadalajara,112091
2003,País Vasco,Guipúzcoa,443437
2003,Andalucía,Huelva,291680
2003,Aragón,Huesca,124936
2003,Andalucía,Jaén,376729
2003,Castilla y León,León,292869
2003,Cataluña,Lérida,230434
2003,La Rioja,"Rioja, La",180292
2003,Galicia,Lugo,206868
2003,Madrid,Madrid,3787603
2003,Andalucía,Málaga,864479
2003,Murcia,Murcia,791910
2003,Navarra,Navarra,366672
2003,Galicia,Orense,195505
2003,Asturias,Asturias,677780
2003,Castilla y León,Palencia,105054
2003,Canarias,"Palmas, Las",650059
2003,Galicia,Pontevedra,588886
2003,Castilla y León,Salamanca,207356
2003,Canarias,"Tenerife, S.C.",599012
2003,Cantabria,Cantabria,348470
2003,Castilla y León,Segovia,88259
2003,Andalucía,Sevilla,1117254
2003,Castilla y León,Soria,51521
2003,Cataluña,Tarragona,411861
2003,Aragón,Teruel,77387
2003,Castilla-La Mancha,Toledo,333715
2003,C. Valenciana,Valencia,1487012
2003,Castilla y León,Valladolid,330697
2003,País Vasco,Vizcaya,735834
2003,Castilla y León,Zamora,111557
2003,Aragón,Zaragoza,549488
2003,Ceuta,Ceuta,46545
2003,Melilla,Melilla,41146
2004,País Vasco,Álava,197352
2004,Castilla-La Mancha,Albacete,227842
2004,C. Valenciana,Alicante,1047530
2004,Andalucía,Almería,363149
2004,Castilla y León,Ávila,95376
2004,Extremadura,Badajoz,392010
2004,Islas Baleares,Baleares,626317
2004,Cataluña,Barcelona,3305027
2004,Castilla y León,Burgos,219707
2004,Extremadura,Cáceres,242091
2004,Andalucía,Cádiz,739683
2004,C. Valenciana,Castellón,334976
2004,Castilla-La Mancha,Ciudad Real,288526
2004,Andalucía,Córdoba,466446
2004,Galicia,"Coruña, A",711020
2004,Castilla-La Mancha,Cuenca,115715
2004,Cataluña,Gerona,402834
2004,Andalucía,Granada,516324
2004,Castilla-La Mancha,Guadalajara,118733
2004,País Vasco,Guipúzcoa,444570
2004,Andalucía,Huelva,297059
2004,Aragón,Huesca,127012
2004,Andalucía,Jaén,380684
2004,Castilla y León,León,292976
2004,Cataluña,Lérida,237095
2004,La Rioja,"Rioja, La",185184
2004,Galicia,Lugo,207043
2004,Madrid,Madrid,3851102
2004,Andalucía,Málaga,885175
2004,Murcia,Murcia,809576
2004,Navarra,Navarra,371263
2004,Galicia,Orense,195575
2004,Asturias,Asturias,680444
2004,Castilla y León,Palencia,105308
2004,Canarias,"Palmas, Las",657427
2004,Galicia,Pontevedra,593910
2004,Castilla y León,Salamanca,210074
2004,Canarias,"Tenerife, S.C.",612276
2004,Cantabria,Cantabria,353790
2004,Castilla y León,Segovia,89967
2004,Andalucía,Sevilla,1130554
2004,Castilla y León,Soria,52265
2004,Cataluña,Tarragona,427515
2004,Aragón,Teruel,78576
2004,Castilla-La Mancha,Toledo,345402
2004,C. Valenciana,Valencia,1516683
2004,Castilla y León,Valladolid,333978
2004,País Vasco,Vizcaya,736170
2004,Castilla y León,Zamora,111529
2004,Aragón,Zaragoza,563660
2004,Ceuta,Ceuta,46232
2004,Melilla,Melilla,40887
2005,País Vasco,Álava,200480
2005,Castilla-La Mancha,Albacete,233480
2005,C. Valenciana,Alicante,1102025
2005,Andalucía,Almería,391463
2005,Castilla y León,Ávila,97020
2005,Extremadura,Badajoz,399976
2005,Islas Baleares,Baleares,648592
2005,Cataluña,Barcelona,3392940
2005,Castilla y León,Burgos,224167
2005,Extremadura,Cáceres,244377
2005,Andalucía,Cádiz,754297
2005,C. Valenciana,Castellón,348588
2005,Castilla-La Mancha,Ciudad Real,296775
2005,Andalucía,Córdoba,473291
2005,Galicia,"Coruña, A",718434
2005,Castilla-La Mancha,Cuenca,119555
2005,Cataluña,Gerona,424900
2005,Andalucía,Granada,532489
2005,Castilla-La Mancha,Guadalajara,126276
2005,País Vasco,Guipúzcoa,445846
2005,Andalucía,Huelva,303864
2005,Aragón,Huesca,130155
2005,Andalucía,Jaén,387823
2005,Castilla y León,León,296961
2005,Cataluña,Lérida,250079
2005,La Rioja,"Rioja, La",191372
2005,Galicia,Lugo,208261
2005,Madrid,Madrid,3963035
2005,Andalucía,Málaga,927469
2005,Murcia,Murcia,843884
2005,Navarra,Navarra,377728
2005,Galicia,Orense,196329
2005,Asturias,Asturias,685990
2005,Castilla y León,Palencia,105907
2005,Canarias,"Palmas, Las",677602
2005,Galicia,Pontevedra,601679
2005,Castilla y León,Salamanca,212117
2005,Canarias,"Tenerife, S.C.",635579
2005,Cantabria,Cantabria,361346
2005,Castilla y León,Segovia,92579
2005,Andalucía,Sevilla,1149285
2005,Castilla y León,Soria,53266
2005,Cataluña,Tarragona,452055
2005,Aragón,Teruel,80677
2005,Castilla-La Mancha,Toledo,362459
2005,C. Valenciana,Valencia,1565454
2005,Castilla y León,Valladolid,337848
2005,País Vasco,Vizcaya,739458
2005,Castilla y León,Zamora,112125
2005,Aragón,Zaragoza,576581
2005,Ceuta,Ceuta,46388
2005,Melilla,Melilla,39361
2006,País Vasco,Álava,201045
2006,Castilla-La Mancha,Albacete,234695
2006,C. Valenciana,Alicante,1130363
2006,Andalucía,Almería,409795
2006,Castilla y León,Ávila,97912
2006,Extremadura,Badajoz,402894
2006,Islas Baleares,Baleares,660344
2006,Cataluña,Barcelona,3438565
2006,Castilla y León,Burgos,226536
2006,Extremadura,Cáceres,244583
2006,Andalucía,Cádiz,763707
2006,C. Valenciana,Castellón,358517
2006,Castilla-La Mancha,Ciudad Real,301500
2006,Andalucía,Córdoba,476313
2006,Galicia,"Coruña, A",719374
2006,Castilla-La Mancha,Cuenca,119294
2006,Cataluña,Gerona,440070
2006,Andalucía,Granada,542361
2006,Castilla-La Mancha,Guadalajara,133075
2006,País Vasco,Guipúzcoa,446008
2006,Andalucía,Huelva,310679
2006,Aragón,Huesca,131937
2006,Andalucía,Jaén,389352
2006,Castilla y León,León,299649
2006,Cataluña,Lérida,255959
2006,La Rioja,"Rioja, La",194651
2006,Galicia,Lugo,208222
2006,Madrid,Madrid,3973639
2006,Andalucía,Málaga,953389
2006,Murcia,Murcia,866772
2006,Navarra,Navarra,382539
2006,Galicia,Orense,196082
2006,Asturias,Asturias,687938
2006,Castilla y León,Palencia,106179
2006,Canarias,"Palmas, Las",686867
2006,Galicia,Pontevedra,604054
2006,Castilla y León,Salamanca,212354
2006,Canarias,"Tenerife, S.C.",645493
2006,Cantabria,Cantabria,365951
2006,Castilla y León,Segovia,93462
2006,Andalucía,Sevilla,1164367
2006,Castilla y León,Soria,53858
2006,Cataluña,Tarragona,468030
2006,Aragón,Teruel,81791
2006,Castilla-La Mancha,Toledo,374050
2006,C. Valenciana,Valencia,1592337
2006,Castilla y León,Valladolid,339673
2006,País Vasco,Vizcaya,739374
2006,Castilla y León,Zamora,112240
2006,Aragón,Zaragoza,579092
2006,Ceuta,Ceuta,46789
2006,Melilla,Melilla,40213
2007,País Vasco,Álava,202790
2007,Castilla-La Mancha,Albacete,238580
2007,C. Valenciana,Alicante,1157111
2007,Andalucía,Almería,416625
2007,Castilla y León,Ávila,99159
2007,Extremadura,Badajoz,408899
2007,Islas Baleares,Baleares,682399
2007,Cataluña,Barcelona,3445486
2007,Castilla y León,Burgos,228184
2007,Extremadura,Cáceres,245722
2007,Andalucía,Cádiz,774262
2007,C. Valenciana,Castellón,367556
2007,Castilla-La Mancha,Ciudad Real,306169
2007,Andalucía,Córdoba,480590
2007,Galicia,"Coruña, A",721318
2007,Castilla-La Mancha,Cuenca,122358
2007,Cataluña,Gerona,452742
2007,Andalucía,Granada,549512
2007,Castilla-La Mancha,Guadalajara,141424
2007,País Vasco,Guipúzcoa,446223
2007,Andalucía,Huelva,315999
2007,Aragón,Huesca,133924
2007,Andalucía,Jaén,393076
2007,Castilla y León,León,300445
2007,Cataluña,Lérida,259926
2007,La Rioja,"Rioja, La",195732
2007,Galicia,Lugo,208058
2007,Madrid,Madrid,4024388
2007,Andalucía,Málaga,971788
2007,Murcia,Murcia,880906
2007,Navarra,Navarra,383929
2007,Galicia,Orense,195209
2007,Asturias,Asturias,688444
2007,Castilla y León,Palencia,106655
2007,Canarias,"Palmas, Las",699992
2007,Galicia,Pontevedra,607287
2007,Castilla y León,Salamanca,211331
2007,Canarias,"Tenerife, S.C.",654379
2007,Cantabria,Cantabria,369982
2007,Castilla y León,Segovia,95920
2007,Andalucía,Sevilla,1176000
2007,Castilla y León,Soria,54166
2007,Cataluña,Tarragona,486523
2007,Aragón,Teruel,83857
2007,Castilla-La Mancha,Toledo,393558
2007,C. Valenciana,Valencia,1607963
2007,Castilla y León,Valladolid,340629
2007,País Vasco,Vizcaya,738357
2007,Castilla y León,Zamora,112637
2007,Aragón,Zaragoza,589979
2007,Ceuta,Ceuta,47194
2007,Melilla,Melilla,41860
2008,País Vasco,Álava,204768
2008,Castilla-La Mancha,Albacete,243375
2008,C. Valenciana,Alicante,1197788
2008,Andalucía,Almería,431713
2008,Castilla y León,Ávila,101395
2008,Extremadura,Badajoz,415956
2008,Islas Baleares,Baleares,712223
2008,Cataluña,Barcelona,3495619
2008,Castilla y León,Burgos,234251
2008,Extremadura,Cáceres,247554
2008,Andalucía,Cádiz,783535
2008,C. Valenciana,Castellón,383023
2008,Castilla-La Mancha,Ciudad Real,316647
2008,Andalucía,Córdoba,486197
2008,Galicia,"Coruña, A",725026
2008,Castilla-La Mancha,Cuenca,126543
2008,Cataluña,Gerona,470262
2008,Andalucía,Granada,563063
2008,Castilla-La Mancha,Guadalajara,152025
2008,País Vasco,Guipúzcoa,448375
2008,Andalucía,Huelva,324701
2008,Aragón,Huesca,137880
2008,Andalucía,Jaén,397580
2008,Castilla y León,León,303095
2008,Cataluña,Lérida,269003
2008,La Rioja,"Rioja, La",201314
2008,Galicia,Lugo,209072
2008,Madrid,Madrid,4154320
2008,Andalucía,Málaga,1001646
2008,Murcia,Murcia,904299
2008,Navarra,Navarra,392904
2008,Galicia,Orense,195025
2008,Asturias,Asturias,693681
2008,Castilla y León,Palencia,107191
2008,Canarias,"Palmas, Las",718920
2008,Galicia,Pontevedra,611260
2008,Castilla y León,Salamanca,213005
2008,Canarias,"Tenerife, S.C.",667517
2008,Cantabria,Cantabria,376380
2008,Castilla y León,Segovia,99647
2008,Andalucía,Sevilla,1192939
2008,Castilla y León,Soria,55164
2008,Cataluña,Tarragona,508159
2008,Aragón,Teruel,86076
2008,Castilla-La Mancha,Toledo,415569
2008,C. Valenciana,Valencia,1644743
2008,Castilla y León,Valladolid,344776
2008,País Vasco,Vizcaya,739127
2008,Castilla y León,Zamora,113371
